race_id,cycle,state_abbrev,state,seat,special,d_side_candidate,r_side_candidate,d_votes,r_votes,total_valid_candidate_votes,dr_votes,margin_d_minus_r_total_pctpt,margin_d_minus_r_two_party_pctpt,direction_actual,alignment_rule,ranked_choice_round_used,same_seat_exact6_available,same_seat_exact6_cycle,same_seat_exact6_race_id,same_seat_exact6_margin_total_pctpt,same_seat_exact6_margin_two_party_pctpt,same_seat_last_prior_available,same_seat_last_prior_cycle,same_seat_last_prior_year_gap,same_seat_last_prior_race_id,same_seat_last_prior_margin_total_pctpt,same_seat_last_prior_margin_two_party_pctpt,pvi_recent_pres_year,pvi_older_pres_year,pvi_lean_recent_pctpt,pvi_lean_older_pctpt,pvi_default_067_033_pctpt,d_senate_experience,r_senate_experience,SenateExperienceDiff,d_house_experience,r_house_experience,HouseExperienceDiff,d_incumbency,r_incumbency,IncumbencyDiff,d_governor_experience,r_governor_experience,GovernorExperienceDiff,d_outparty_incumbent,r_outparty_incumbent,OutPartyIncumbent
12,2014,AK,Alaska,Class II,false,Mark Begich,Dan Sullivan,129431,135445,282400,264876,-2.12960340,-2.27049638,R,ballot_party_DEM_REP,,true,2008,1546,1.24416552,1.31950958,true,2008,6,1546,1.24416552,1.31950958,2012,2008,-18.54719217,-29.50725725,-22.16401365,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1
32,2014,AR,Arkansas,Class II,false,Mark L. Pryor,Tom Cotton,334174,478819,847505,812993,-17.06715595,-17.79166610,R,ballot_party_DEM_REP,,false,,,,,true,2002,12,1650,7.79124037,7.79124037,2012,2008,-28.22542191,-27.72112864,-28.05900513,1,0,1,0,1,-1,1,0,1,0,0,0,1,0,1
23,2014,CO,Colorado,Class II,false,Mark Udall,Cory Gardner,944203,983891,2041058,1928094,-1.94448173,-2.05840587,R,ballot_party_DEM_REP,,true,2008,1548,10.30351845,10.81305764,true,2008,6,1548,10.30351845,10.81305764,2012,2008,1.57940310,1.72358197,1.62698213,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0
24,2014,DE,Delaware,Class II,false,Christopher A. Coons,Kevin Wade,130655,98823,234038,229478,13.60121006,13.87148223,D,ballot_party_DEM_REP,,true,2008,1549,29.37302516,29.37302516,true,2010,4,1513,16.57731570,17.15415818,2012,2008,14.97729863,17.89858988,15.94132474,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
17,2014,GA,Georgia,Class II,false,Mary Michelle Nunn,David A. Perdue,1160811,1358088,2567805,2518899,-7.68270955,-7.83187416,R,ballot_party_DEM_REP,,true,2008,1550,-2.92350269,-3.02674307,true,2008,6,1550,-2.92350269,-3.02674307,2012,2008,-11.82990940,-12.63435844,-12.09537758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,2014,HI,Hawaii,Class III,true,Brian Schatz,Cam Cavasso,246827,98006,369703,344833,40.25420405,43.15741243,D,ballot_party_DEM_REP,,false,,,,,true,2010,4,1516,53.23746637,55.23718597,2012,2008,39.49108580,38.60976434,39.20024972,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
26,2014,IA,Iowa,Class II,false,Bruce L. Braley,Joni K. Ernst,494370,588575,1129700,1082945,-8.33893954,-8.69896440,R,ballot_party_DEM_REP,,true,2008,1554,25.39453250,25.41562033,true,2008,6,1554,25.39453250,25.41562033,2012,2008,2.00209265,2.31986816,2.10695857,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
27,2014,ID,Idaho,Class II,false,Nels Mitchell,James E. Risch,151574,285596,437170,437170,-30.65672393,-30.65672393,R,ballot_party_DEM_REP,,true,2008,1552,-23.54927262,-25.66412067,true,2008,6,1552,-23.54927262,-25.66412067,2012,2008,-36.75938489,-33.42686703,-35.65965400,0,1,-1,0,0,0,0,1,-1,0,1,-1,0,0,0
4,2014,IL,Illinois,Class II,false,Richard J. Durbin,James D. Oberweis,1929637,1538522,3603519,3468159,10.85369607,11.27730880,D,ballot_party_DEM_REP,,true,2008,1553,39.31085555,40.79114722,true,2008,6,1553,39.31085555,40.79114722,2012,2008,13.23843558,18.09084067,14.83972926,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0
15,2014,KY,Kentucky,Class II,false,Alison Lundergan Grimes,Mitch McConnell,584698,806787,1435868,1391485,-15.46722958,-15.96057449,R,ballot_party_DEM_REP,,true,2008,1556,-5.93123914,-5.93123914,true,2008,6,1556,-5.93123914,-5.93123914,2012,2008,-27.00215599,-23.84454260,-25.96014357,0,1,-1,0,0,0,0,1,-1,0,0,0,0,0,0
31,2014,MA,Massachusetts,Class II,false,Edward J. Markey,Brian J. Herr,1289944,791950,2186789,2081894,22.77284182,23.92023801,D,ballot_party_DEM_REP,,true,2008,1559,33.70711200,36.09121820,true,2013,1,1472,10.18172017,10.26038321,2012,2008,19.65475029,19.01646901,19.44411747,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0
9,2014,ME,Maine,Class II,false,Shenna Bellows,Susan M. Collins,190254,413505,616996,603759,-36.18354090,-36.97684010,R,ballot_party_DEM_REP,,true,2008,1558,-22.74753944,-22.76702450,true,2008,6,1558,-22.74753944,-22.76702450,2012,2008,11.80323158,10.28136255,11.30101480,0,1,-1,0,0,0,0,1,-1,0,0,0,0,1,-1
2,2014,MI,Michigan,Class II,false,Gary C. Peters,Terri Lynn Land,1704936,1290199,3121771,2995135,13.28531145,13.84702192,D,ballot_party_DEM_REP,,true,2008,1560,28.81883917,29.86065047,true,2008,6,1560,28.81883917,29.86065047,2012,2008,5.68445294,9.36491573,6.89900566,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
6,2014,MN,Minnesota,Class II,false,Al Franken,Mike McFadden,1053205,850227,1981528,1903432,10.24350905,10.66379046,D,ballot_party_DEM_REP,,true,2008,1561,0.01080465,0.01286627,true,2008,6,1561,0.01080465,0.01286627,2012,2008,3.96584172,3.08106257,3.67386460,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
18,2014,MS,Mississippi,Class II,false,Travis W. Childers,Thad Cochran,239439,378481,631858,617920,-22.00526068,-22.50161833,R,ballot_party_DEM_REP,,true,2008,1562,-22.87009252,-22.87009252,true,2008,6,1562,-22.87009252,-22.87009252,2012,2008,-15.52040960,-20.66154941,-17.21698574,0,1,-1,1,1,0,0,1,-1,0,0,0,0,0,0
5,2014,MT,Montana,Class II,false,Amanda G. Curtis,Steve Daines,148184,213709,369826,361893,-17.71779161,-18.10618056,R,ballot_party_DEM_REP,,true,2008,1564,45.83195508,45.83195508,true,2008,6,1564,45.83195508,45.83195508,2012,2008,-17.98507493,-9.71649399,-15.25644322,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0
14,2014,NC,North Carolina,Class II,false,Kay R. Hagan,Thomas Roland Tillis,1377651,1423259,2915281,2800910,-1.56444610,-1.62832794,R,ballot_party_DEM_REP,,true,2008,1569,8.46918401,8.74587032,true,2008,6,1569,8.46918401,8.74587032,2012,2008,-5.98468101,-7.04576082,-6.33483735,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1
1,2014,NE,Nebraska,Class II,false,Dave Domina,Ben Sasse,170127,347636,540337,517763,-32.85153525,-34.28383256,R,ballot_party_DEM_REP,,true,2008,1565,-17.46322764,-17.89683309,true,2008,6,1565,-17.46322764,-17.89683309,2012,2008,-26.17539174,-22.59583626,-24.99413843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2014,NH,New Hampshire,Class II,false,Jeanne Shaheen,Scott Brown,251184,235347,488159,486531,3.24422985,3.25508549,D,ballot_party_DEM_REP,,true,2008,1566,6.33791363,6.54463685,true,2008,6,1566,6.33791363,6.54463685,2012,2008,1.75089275,2.35939482,1.95169843,1,1,0,0,0,0,1,0,1,1,0,1,0,0,0
10,2014,NJ,New Jersey,Class II,false,Cory A. Booker,Jeff Bell,1043866,791297,1869535,1835163,13.50972301,13.76275568,D,ballot_party_DEM_REP,,true,2008,1567,14.07611606,14.36571194,true,2013,1,1471,10.90401651,11.02031885,2012,2008,13.98731990,8.35157232,12.12752320,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
3,2014,NM,New Mexico,Class II,false,Tom Udall,Allen E. Weh,286409,229097,515506,515506,11.11762036,11.11762036,D,ballot_party_DEM_REP,,true,2008,1568,22.65598252,22.65598252,true,2008,6,1568,22.65598252,22.65598252,2012,2008,6.67379809,7.95211262,7.09564188,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0
29,2014,OK,Oklahoma,Class II,false,Matt Silverstein,James M. Inhofe,234307,558166,820733,792473,-39.45972685,-40.86688127,R,ballot_party_DEM_REP,,true,2008,1570,-17.49596642,-18.25087076,true,2008,6,1570,-17.49596642,-18.25087076,2012,2008,-37.46125069,-38.66784967,-37.85942835,0,1,-1,0,1,-1,0,1,-1,0,0,0,0,0,0
35,2014,OK,Oklahoma,Class III,true,Constance N. Johnson,James Lankford,237923,557002,820890,794925,-38.86988512,-40.13951002,R,ballot_party_DEM_REP,,false,,,,,true,2010,4,1535,-44.50352013,-45.98901144,2012,2008,-37.46125069,-38.66784967,-37.85942835,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0
20,2014,OR,Oregon,Class II,false,Jeff Merkley,Monica Wehby,814537,538847,1461618,1353384,18.86197351,20.37041963,D,ballot_party_DEM_REP,,true,2008,1571,3.35122297,3.54784011,true,2008,6,1571,3.35122297,3.54784011,2012,2008,8.62572315,9.44975493,8.89765364,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
33,2014,RI,Rhode Island,Class II,false,Jack Reed,Mark S. Zaccaria,223675,92684,316898,316359,41.33538236,41.40580796,D,ballot_party_DEM_REP,,true,2008,1572,46.59626446,46.80896849,true,2008,6,1572,46.59626446,46.80896849,2012,2008,24.11688075,21.01858760,23.09444401,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0
