race_id,cycle,state_abbrev,side,candidate_name,auto_governor_experience,match_status,match_score,second_score,matched_nga_name,identity_suffix_mismatch,nga_prior_governor,final_governor_experience,source,nga_terms
12,2014,AK,D,Mark Begich,0,NO_MATCH,0.0000,0.0000,,false,,0,election_history_fallback,
12,2014,AK,R,Dan Sullivan,0,AMBIGUOUS,0.8000,0.7692,,false,,0,election_history_fallback,
32,2014,AR,D,Mark L. Pryor,0,AMBIGUOUS,0.4516,0.0000,,false,,0,election_history_fallback,
32,2014,AR,R,Tom Cotton,0,NO_MATCH,0.0000,0.0000,,false,,0,election_history_fallback,
23,2014,CO,D,Mark Udall,0,NO_MATCH,0.0000,0.0000,,false,,0,election_history_fallback,
23,2014,CO,R,Cory Gardner,0,AMBIGUOUS,0.7200,0.6667,,false,,0,election_history_fallback,
24,2014,DE,D,Christopher A. Coons,0,NO_MATCH,0.0000,0.0000,,false,,0,election_history_fallback,
24,2014,DE,R,Kevin Wade,0,NO_MATCH,0.0000,0.0000,,false,,0,election_history_fallback,
17,2014,GA,D,Mary Michelle Nunn,0,AMBIGUOUS,0.4000,0.0000,,false,,0,election_history_fallback,
17,2014,GA,R,David A. Perdue,0,AMBIGUOUS,0.6667,0.5385,,false,,0,election_history_fallback,
34,2014,HI,D,Brian Schatz,0,NO_MATCH,0.0000,0.0000,,false,,0,election_history_fallback,
34,2014,HI,R,Cam Cavasso,0,NO_MATCH,0.0000,0.0000,,false,,0,election_history_fallback,
26,2014,IA,D,Bruce L. Braley,0,NO_MATCH,0.0000,0.0000,,false,,0,election_history_fallback,
26,2014,IA,R,Joni K. Ernst,0,NO_MATCH,0.0000,0.0000,,false,,0,election_history_fallback,
27,2014,ID,D,Nels Mitchell,0,AMBIGUOUS,0.7742,0.6857,,false,,0,election_history_fallback,
27,2014,ID,R,James E. Risch,0,ACCEPTED,1.0000,0.0000,James E. Risch,false,1,1,NGA_or_election_history,Idaho:2006-2007
4,2014,IL,D,Richard J. Durbin,0,AMBIGUOUS,0.5263,0.0000,,false,,0,election_history_fallback,
4,2014,IL,R,James D. Oberweis,0,NO_MATCH,0.0000,0.0000,,false,,0,election_history_fallback,
15,2014,KY,D,Alison Lundergan Grimes,0,AMBIGUOUS,0.5714,0.0000,,false,,0,election_history_fallback,
15,2014,KY,R,Mitch McConnell,0,AMBIGUOUS,0.6486,0.0000,,false,,0,election_history_fallback,
31,2014,MA,D,Edward J. Markey,0,NO_MATCH,0.0000,0.0000,,false,,0,election_history_fallback,
31,2014,MA,R,Brian J. Herr,0,NO_MATCH,0.0000,0.0000,,false,,0,election_history_fallback,
