race_id,cycle,state_abbrev,state,seat,special,d_side_candidate,r_side_candidate,d_votes,r_votes,total_valid_candidate_votes,dr_votes,margin_d_minus_r_total_pctpt,margin_d_minus_r_two_party_pctpt,direction_actual,alignment_rule,ranked_choice_round_used
12,2014,AK,Alaska,Class II,false,Mark Begich,Dan Sullivan,129431,135445,282400,264876,-2.12960340,-2.27049638,R,ballot_party_DEM_REP,
32,2014,AR,Arkansas,Class II,false,Mark L. Pryor,Tom Cotton,334174,478819,847505,812993,-17.06715595,-17.79166610,R,ballot_party_DEM_REP,
23,2014,CO,Colorado,Class II,false,Mark Udall,Cory Gardner,944203,983891,2041058,1928094,-1.94448173,-2.05840587,R,ballot_party_DEM_REP,
24,2014,DE,Delaware,Class II,false,Christopher A. Coons,Kevin Wade,130655,98823,234038,229478,13.60121006,13.87148223,D,ballot_party_DEM_REP,
17,2014,GA,Georgia,Class II,false,Mary Michelle Nunn,David A. Perdue,1160811,1358088,2567805,2518899,-7.68270955,-7.83187416,R,ballot_party_DEM_REP,
34,2014,HI,Hawaii,Class III,true,Brian Schatz,Cam Cavasso,246827,98006,369703,344833,40.25420405,43.15741243,D,ballot_party_DEM_REP,
26,2014,IA,Iowa,Class II,false,Bruce L. Braley,Joni K. Ernst,494370,588575,1129700,1082945,-8.33893954,-8.69896440,R,ballot_party_DEM_REP,
27,2014,ID,Idaho,Class II,false,Nels Mitchell,James E. Risch,151574,285596,437170,437170,-30.65672393,-30.65672393,R,ballot_party_DEM_REP,
4,2014,IL,Illinois,Class II,false,Richard J. Durbin,James D. Oberweis,1929637,1538522,3603519,3468159,10.85369607,11.27730880,D,ballot_party_DEM_REP,
15,2014,KY,Kentucky,Class II,false,Alison Lundergan Grimes,Mitch McConnell,584698,806787,1435868,1391485,-15.46722958,-15.96057449,R,ballot_party_DEM_REP,
31,2014,MA,Massachusetts,Class II,false,Edward J. Markey,Brian J. Herr,1289944,791950,2186789,2081894,22.77284182,23.92023801,D,ballot_party_DEM_REP,
9,2014,ME,Maine,Class II,false,Shenna Bellows,Susan M. Collins,190254,413505,616996,603759,-36.18354090,-36.97684010,R,ballot_party_DEM_REP,
2,2014,MI,Michigan,Class II,false,Gary C. Peters,Terri Lynn Land,1704936,1290199,3121771,2995135,13.28531145,13.84702192,D,ballot_party_DEM_REP,
6,2014,MN,Minnesota,Class II,false,Al Franken,Mike McFadden,1053205,850227,1981528,1903432,10.24350905,10.66379046,D,ballot_party_DEM_REP,
18,2014,MS,Mississippi,Class II,false,Travis W. Childers,Thad Cochran,239439,378481,631858,617920,-22.00526068,-22.50161833,R,ballot_party_DEM_REP,
5,2014,MT,Montana,Class II,false,Amanda G. Curtis,Steve Daines,148184,213709,369826,361893,-17.71779161,-18.10618056,R,ballot_party_DEM_REP,
14,2014,NC,North Carolina,Class II,false,Kay R. Hagan,Thomas Roland Tillis,1377651,1423259,2915281,2800910,-1.56444610,-1.62832794,R,ballot_party_DEM_REP,
1,2014,NE,Nebraska,Class II,false,Dave Domina,Ben Sasse,170127,347636,540337,517763,-32.85153525,-34.28383256,R,ballot_party_DEM_REP,
8,2014,NH,New Hampshire,Class II,false,Jeanne Shaheen,Scott Brown,251184,235347,488159,486531,3.24422985,3.25508549,D,ballot_party_DEM_REP,
10,2014,NJ,New Jersey,Class II,false,Cory A. Booker,Jeff Bell,1043866,791297,1869535,1835163,13.50972301,13.76275568,D,ballot_party_DEM_REP,
3,2014,NM,New Mexico,Class II,false,Tom Udall,Allen E. Weh,286409,229097,515506,515506,11.11762036,11.11762036,D,ballot_party_DEM_REP,
29,2014,OK,Oklahoma,Class II,false,Matt Silverstein,James M. Inhofe,234307,558166,820733,792473,-39.45972685,-40.86688127,R,ballot_party_DEM_REP,
35,2014,OK,Oklahoma,Class III,true,Constance N. Johnson,James Lankford,237923,557002,820890,794925,-38.86988512,-40.13951002,R,ballot_party_DEM_REP,
20,2014,OR,Oregon,Class II,false,Jeff Merkley,Monica Wehby,814537,538847,1461618,1353384,18.86197351,20.37041963,D,ballot_party_DEM_REP,
33,2014,RI,Rhode Island,Class II,false,Jack Reed,Mark S. Zaccaria,223675,92684,316898,316359,41.33538236,41.40580796,D,ballot_party_DEM_REP,
11,2014,SC,South Carolina,Class II,false,Charles Bradley Hutto,Lindsey Graham,480933,672941,1240075,1153874,-15.48357962,-16.64029175,R,ballot_party_DEM_REP,
36,2014,SC,South Carolina,Class III,true,Joyce Dickerson,Tim Scott,459583,727215,1208982,1186798,-22.13697144,-22.55076264,R,ballot_party_DEM_REP,
22,2014,SD,South Dakota,Class II,false,Richard P. Weiland,M. Michael Rounds,82456,140741,279412,223197,-20.85987717,-26.11370225,R,ballot_party_DEM_REP,
28,2014,TN,Tennessee,Class II,false,William Gordon Ball,Lamar Alexander,437848,850087,1374065,1287935,-30.00141915,-32.00774884,R,ballot_party_DEM_REP,
19,2014,TX,Texas,Class II,false,David M. Alameel,John Cornyn,1597387,2861531,4648358,4458918,-27.19549570,-28.35091383,R,ballot_party_DEM_REP,
16,2014,VA,Virginia,Class II,false,Mark R. Warner,Ed W. Gillespie,1073667,1055940,2184473,2129607,0.81150007,0.83240711,D,ballot_party_DEM_REP,
30,2014,WV,West Virginia,Class II,false,Natalie E. Tennant,Shelley Moore Capito,156360,281820,453689,438180,-27.65330436,-28.63206901,R,ballot_party_DEM_REP,
13,2014,WY,Wyoming,Class II,false,Charlie Hardy,Michael B. Enzi,29377,121554,171153,150931,-53.85649098,-61.07227806,R,ballot_party_DEM_REP,
96,2018,AZ,Arizona,Class I,false,Kyrsten Sinema,Martha McSally,1191100,1135200,2384308,2326300,2.34449576,2.40295749,D,ballot_party_DEM_REP,
98,2018,CT,Connecticut,Class I,false,Christopher S. Murphy,Matthew M. Corey,825579,545717,1386840,1371296,20.17983329,20.40857700,D,ballot_party_DEM_REP,
99,2018,DE,Delaware,Class I,false,Thomas R. Carper,Rob Arlett,217385,137127,362606,354512,22.13366574,22.63900799,D,ballot_party_DEM_REP,
100,2018,FL,Florida,Class I,false,Bill Nelson,Rick Scott,4089472,4099505,8190005,8188977,-0.12250298,-0.12251836,R,ballot_party_DEM_REP,
101,2018,HI,Hawaii,Class I,false,Mazie K. Hirono,Ronald C. Curtis,276316,112035,398657,388351,41.20860790,42.30219569,D,ballot_party_DEM_REP,
102,2018,IN,Indiana,Class I,false,Joe Donnelly,Mike Braun,1023553,1158000,2282565,2181553,-5.89017180,-6.16290322,R,ballot_party_DEM_REP,
105,2018,MA,Massachusetts,Class I,false,Elizabeth Ann Warren,Geoff Diehl,1633371,979210,2752665,2612581,23.76464263,25.03887918,D,ballot_party_DEM_REP,
104,2018,MD,Maryland,Class I,false,Benjamin L. Cardin,Tony Campbell,1491614,697017,2299889,2188631,34.54936303,36.30566322,D,ballot_party_DEM_REP,
103,2018,ME,Maine,Class I,false,Angus S. King Jr.,Eric L. Brakey,344575,223502,646064,568077,18.74009386,21.31277978,D,manual_alignment_hypothesis_A,1
106,2018,MI,Michigan,Class I,false,Debbie Stabenow,John James,2214478,1938818,4237271,4153296,6.50560231,6.63713831,D,ballot_party_DEM_REP,
107,2018,MN,Minnesota,Class I,false,Amy Klobuchar,Jim Newberger,1566174,940437,2596879,2506611,24.09573184,24.96346661,D,ballot_party_DEM_REP,
129,2018,MN,Minnesota,Class II,true,Tina Smith,Karin Housley,1370540,1095777,2587356,2466317,10.61945090,11.14061980,D,ballot_party_DEM_REP,
109,2018,MO,Missouri,Class I,false,Claire McCaskill,Josh Hawley,1112935,1254927,2442289,2367862,-5.81389017,-5.99663325,R,ballot_party_DEM_REP,
108,2018,MS,Mississippi,Class I,false,David Baria,Roger F. Wicker,369567,547619,936215,917186,-19.01828106,-19.41285628,R,ballot_party_DEM_REP,
110,2018,MT,Montana,Class I,false,Jon Tester,Matt Rosendale,253876,235963,504384,489839,3.55146079,3.65691584,D,ballot_party_DEM_REP,
116,2018,ND,North Dakota,Class I,false,Heidi Heitkamp,Kevin Cramer,144376,179720,326138,324096,-10.83713029,-10.90541074,R,ballot_party_DEM_REP,
111,2018,NE,Nebraska,Class I,false,Jane Raybould,Deb Fischer,269917,403151,698883,673068,-19.06384903,-19.79502814,R,ballot_party_DEM_REP,
113,2018,NJ,New Jersey,Class I,false,Bob Menendez,Bob Hugin,1711654,1357355,3169310,3069009,11.17905790,11.54441059,D,ballot_party_DEM_REP,
114,2018,NM,New Mexico,Class I,false,Martin Heinrich,Mick Rich,376998,212813,697012,589811,23.55554854,27.83688334,D,ballot_party_DEM_REP,
112,2018,NV,Nevada,Class I,false,Jacky S. Rosen,Dean Heller,490071,441202,972132,931273,5.02699222,5.24754825,D,ballot_party_DEM_REP,
115,2018,NY,New York,Class I,false,Kirsten E. Gillibrand,Chele Farley,4056931,1998220,6250886,6055151,32.93470718,33.99933379,D,ballot_party_DEM_REP,
117,2018,OH,Ohio,Class I,false,Sherrod Brown,Jim Renacci,2355923,2053963,4410898,4409886,6.84577154,6.84734254,D,ballot_party_DEM_REP,
118,2018,PA,Pennsylvania,Class I,false,Robert P. Casey Jr.,Lou Barletta,2792437,2134848,5009400,4927285,13.12710105,13.34586897,D,ballot_party_DEM_REP,
119,2018,RI,Rhode Island,Class I,false,Sheldon Whitehouse,Bob Flanders,231477,144421,376738,375898,23.10783622,23.15947411,D,ballot_party_DEM_REP,
120,2018,TN,Tennessee,Class I,false,Phil Bredesen,Marsha Blackburn,985450,1227483,2243740,2212933,-10.78703415,-10.93720415,R,ballot_party_DEM_REP,
121,2018,TX,Texas,Class I,false,Beto O'Rourke,Ted Cruz,4045632,4260553,8371655,8306185,-2.56724626,-2.58748150,R,ballot_party_DEM_REP,
122,2018,UT,Utah,Class I,false,Jenny Wilson,Mitt Romney,328541,665215,1062897,993756,-31.67512939,-33.87894010,R,ballot_party_DEM_REP,
124,2018,VA,Virginia,Class I,false,Timothy Michael Kaine,Corey Stewart,1910370,1374313,3351373,3284683,15.99514587,16.31990058,D,ballot_party_DEM_REP,
123,2018,VT,Vermont,Class I,false,Bernie Sanders,Lawrence Zupan,183649,74815,278013,258464,39.14709024,42.10799183,D,manual_alignment_hypothesis_A,
125,2018,WA,Washington,Class I,false,Maria Cantwell,Susan Hutchison,1803364,1282804,3086168,3086168,16.86751985,16.86751985,D,ballot_party_DEM_REP,
