target_race_id,target_cycle,target_state,side,candidate_name,politician_id,prior_statewide_count,prior_senate_count,prior_governor_count,mean_own_party_overperf_vs_pvi_pctpt,mean_own_party_overperf_cycle_adjusted_pctpt,latest_prior_statewide_cycle,personal_vote_finalized
12,2014,AK,D,Mark Begich,1526,1,1,0,29.38978512,18.13085216,2008,false
12,2014,AK,R,Dan Sullivan,4545,0,0,0,,,,false
32,2014,AR,D,Mark L. Pryor,1541,0,0,0,,,,false
32,2014,AR,R,Tom Cotton,3066,0,0,0,,,,false
23,2014,CO,D,Mark Udall,1543,1,1,0,15.45318271,3.77192846,2008,false
23,2014,CO,R,Cory Gardner,2816,0,0,0,,,,false
24,2014,DE,D,Christopher A. Coons,1299,1,1,0,1.81227669,8.05939310,2010,false
24,2014,DE,R,Kevin Wade,4515,1,1,0,-23.94153690,-14.79461934,2012,false
17,2014,GA,D,Mary Michelle Nunn,4488,0,0,0,,,,false
17,2014,GA,R,David A. Perdue,4489,0,0,0,,,,false
34,2014,HI,D,Brian Schatz,2654,0,0,0,,,,false
34,2014,HI,R,Cam Cavasso,505,1,1,0,-25.64067602,-32.54969242,2010,false
26,2014,IA,D,Bruce L. Braley,2736,0,0,0,,,,false
26,2014,IA,R,Joni K. Ernst,4518,0,0,0,,,,false
27,2014,ID,D,Nels Mitchell,4483,0,0,0,,,,false
27,2014,ID,R,James E. Risch,2710,1,1,0,-12.49702250,-0.72618764,2008,false
4,2014,IL,D,Richard J. Durbin,1574,1,1,0,28.24144108,16.94770981,2008,false
4,2014,IL,R,James D. Oberweis,4526,0,0,0,,,,false
15,2014,KY,D,Alison Lundergan Grimes,4676,0,0,0,,,,false
15,2014,KY,R,Mitch McConnell,1585,1,1,0,-11.08786792,0.72566860,2008,false
31,2014,MA,D,Edward J. Markey,2711,1,1,0,-9.18373426,,2013,false
31,2014,MA,R,Brian J. Herr,4672,0,0,0,,,,false
9,2014,ME,D,Shenna Bellows,4668,0,0,0,,,,false
9,2014,ME,R,Susan M. Collins,1602,1,1,0,32.21317160,45.33886083,2008,false
