race_id,cycle,state_abbrev,state,seat,special,headline_cycle,classification,reasons,winner,dem_candidate,rep_candidate,all_candidates
1583,2006,CT,Connecticut,Class I,false,false,MANUAL_PARTY_ALIGNMENT_REQUIRED,winner_not_major_party,Joseph I. Lieberman [OTH] 564095,Edward Lamont [DEM] 450844,Alan Schlesinger [REP] 109198,Alan Schlesinger [REP] 109198 | Carl E. Vassar [W] 80 | Edward Lamont [DEM] 450844 | Joseph I. Lieberman [OTH] 564095 | Ralph A. Ferrucci [GRE] 5922 | Timothy A. Knibbs [CNC] 4638
1587,2006,IN,Indiana,Class I,false,false,MANUAL_RACE_RULE_REQUIRED,non_unique_or_missing_D_R,Richard G. Lugar [REP] 1171553,,Richard G. Lugar [REP] 1171553,Jack H. Baldwin [W] 294 | Mark Pool [W] 444 | Richard G. Lugar [REP] 1171553 | Steve Osborn [LIB] 168820
1600,2006,NY,New York,Class I,false,false,SAFE_IF_AGGREGATE_SAME_CANDIDATE,fusion_or_multiline,Hillary Rodham Clinton [DEM/IDP/WFP] 3008428,Hillary Rodham Clinton [DEM/IDP/WFP] 3008428,John Spencer [CRV/REP] 1392189,Blank/Scattering [NONE] 210579 | Hillary Rodham Clinton [DEM/IDP/WFP] 3008428 | Howie Hawkins [GRE] 55469 | Jeffrey T. Russell [LIB] 20996 | John Spencer [CRV/REP] 1392189 | Roger Calero [SWP] 6967 | William Van Auken [SEP] 6004
1608,2006,VT,Vermont,Class I,false,false,MANUAL_PARTY_ALIGNMENT_REQUIRED,non_unique_or_missing_D_R;winner_not_major_party,Bernie Sanders [IND] 171638,,Rich Tarrant [REP] 84924,Bernie Sanders [IND] 171638 | Craig Barclay Hill [GRE] 1536 | Cris Ericson [IND] 1735 | Pete Diamondstone [LBU] 801 | Peter D. Moss [OTH] 1518 | Rich Tarrant [REP] 84924 | Write-in [NONE] 267
1547,2008,AR,Arkansas,Class II,false,false,MANUAL_RACE_RULE_REQUIRED,non_unique_or_missing_D_R,Mark L. Pryor [DEM] 804678,Mark L. Pryor [DEM] 804678,,Mark L. Pryor [DEM] 804678 | Rebekah J. Kennedy [GRE] 207076
1563,2008,MS,Mississippi,Class I,true,false,MANUAL_RACE_RULE_REQUIRED,special;non_unique_or_missing_D_R,Roger F. Wicker [REP] 683409,,Roger F. Wicker [REP] 683409,Roger F. Wicker [REP] 683409 | Ronnie Musgrove [NPA] 560064
1580,2008,WY,Wyoming,Class I,true,false,SPECIAL_ELECTION_POLICY_REQUIRED,special,John Barrasso [REP] 183063,Nicholas H. Carter [DEM] 66202,John Barrasso [REP] 183063,John Barrasso [REP] 183063 | Nicholas H. Carter [DEM] 66202 | Overvote [NONE] 61 | Write-in [NONE] 293
1507,2010,AK,Alaska,Class III,false,false,MANUAL_PARTY_ALIGNMENT_REQUIRED,winner_not_major_party;fusion_or_multiline,Lisa Murkowski [W] 101091,Scott T. McAdams [DEM] 60045,Joe Miller [REP/W] 90860,Fredrick David Haase [LIB] 1459 | Joe Miller [REP/W] 90860 | Lisa Murkowski [W] 101091 | Other [NONE] 602 | Robert Timothy Carter [UN] 927 | Scott T. McAdams [DEM] 60045 | Ted Gianoutsos [UN] 458 | Write-in [NONE] 61
1512,2010,CT,Connecticut,Class III,false,false,SAFE_IF_AGGREGATE_SAME_CANDIDATE,fusion_or_multiline,Richard Blumenthal [DEM/WFP] 636040,Richard Blumenthal [DEM/WFP] 636040,Linda McMahon [REP] 498341,Brian Hill [W] 559 | Carl E. Vassar [W] 31 | David Olszta [W] 5 | Jay J. Giles [W] 17 | Jeffery Russell [W] 45 | John M. Traceski [W] 15 | John Mertens [OTH] 6735 | Linda McMahon [REP] 498341 | Matthew Coleman [W] 7 | Richard Blumenthal [DEM/WFP] 636040 | Todd Vachon [W] 45 | Warren Bruce Mosler [IND] 11275
1513,2010,DE,Delaware,Class II,true,false,SPECIAL_ELECTION_POLICY_REQUIRED,special,Christopher A. Coons [DEM] 174012,Christopher A. Coons [DEM] 174012,Christine O'Donnell [REP] 123053,Christine O'Donnell [REP] 123053 | Christopher A. Coons [DEM] 174012 | Glenn A. Miller [IDE] 8201 | James W. Rash [LIB] 2101 | Maurice F. Bourgeois [W] 25 | Samtra Devard [W] 10
1519,2010,IL,Illinois,Class III,true,false,SPECIAL_ELECTION_POLICY_REQUIRED,special,Mark Kirk [REP] 1778698,Alexi Giannoulias [DEM] 1719478,Mark Kirk [REP] 1778698,Alexi Giannoulias [DEM] 1719478 | Avner Nager [W] 15 | Corey Dabney [W] 33 | Darren Raichart [W] 9 | LeAlan M. Jones [GRE] 117914 | Lowell Martin Seida [W] 3 | Mark Kirk [REP] 1778698 | Mike Labno [LIB] 87247 | Robert L. Zadek [W] 561 | Shon-Tiyon Taiwan Horton [W] 16 | Stan Jagla [W] 12 | Susanne Atanus [W] 19 | Will Boyd [W] 468
1526,2010,MA,Massachusetts,Class I,true,false,SPECIAL_ELECTION_POLICY_REQUIRED,special,Scott Brown [REP] 1168178,Martha Coakley [DEM] 1060861,Scott Brown [REP] 1168178,Blank [NONE] 1145 | Joseph L. Kennedy [OTH] 22388 | Martha Coakley [DEM] 1060861 | Other [NONE] 1155 | Scott Brown [REP] 1168178
1530,2010,NY,New York,Class III,false,false,SAFE_IF_AGGREGATE_SAME_CANDIDATE,fusion_or_multiline,Charles E. Schumer [DEM] 3047880,Charles E. Schumer [DEM] 3047880,Jay Townsend [CRV/REP] 1480423,Blank/Scattering [NONE] 168384 | Charles E. Schumer [DEM] 3047880 | Colia Clark [GRE] 42341 | Jay Townsend [CRV/REP] 1480423 | Randolph A. Credico [LIB] 24871
1531,2010,NY,New York,Class I,true,false,SPECIAL_ELECTION_POLICY_REQUIRED,special;fusion_or_multiline,Kirsten E. Gillibrand [DEM] 2837684,Kirsten E. Gillibrand [DEM] 2837684,Joseph J. DioGuardi [REP/UST] 1582693,Blank/Scattering [NONE] 250033 | Bruce Blakeman [OTH] 4516 | Cecile Ann Lawrence [GRE] 35489 | John Clifton [LIB] 18414 | Joseph Huff [OTH] 17019 | Joseph J. DioGuardi [REP/UST] 1582693 | Kirsten E. Gillibrand [DEM] 2837684 | Vivia M. Morgan [OTH] 11787
1539,2010,SD,South Dakota,Class III,false,false,MANUAL_RACE_RULE_REQUIRED,non_unique_or_missing_D_R,John R. Thune [REP] 227947,,John R. Thune [REP] 227947,John R. Thune [REP] 227947
1543,2010,WV,West Virginia,Class I,true,false,SPECIAL_ELECTION_POLICY_REQUIRED,special,"Joe Manchin, III [DEM] 283358","Joe Manchin, III [DEM] 283358",John Raese [REP] 230013,"Jeff C. Becker [CON] 6425 | Jesse Johnson [MTP] 10152 | Joe Manchin, III [DEM] 283358 | John Raese [REP] 230013"
1475,2012,CT,Connecticut,Class I,false,false,SAFE_IF_AGGREGATE_SAME_CANDIDATE,fusion_or_multiline,Christopher S. Murphy [DEM/WFP] 828761,Christopher S. Murphy [DEM/WFP] 828761,Linda McMahon [IND/REP] 651089,Christopher S. Murphy [DEM/WFP] 828761 | Jeffery Russell [W] 40 | John M. Traceski [W] 19 | Linda McMahon [IND/REP] 651089 | Matthew Coleman [W] 6414 | Michael D. Adams [W] 388 | Michael Vasile [W] 8 | Paul Passarelli [LIB] 25045
1480,2012,ME,Maine,Class I,false,false,MANUAL_PARTY_ALIGNMENT_REQUIRED,winner_not_major_party,Angus S. King Jr. [OTH] 370580,Cynthia Dill [DEM] 92900,Charlie Summers [REP] 215399,Andrew Ian Dodge [OTH] 5624 | Angus S. King Jr. [OTH] 370580 | Blank [NONE] 24121 | Charlie Summers [REP] 215399 | Cynthia Dill [DEM] 92900 | Danny Francis Dalton [NON] 5807 | Stephen M. Woods [IND] 10289
1492,2012,NY,New York,Class I,false,false,SAFE_IF_AGGREGATE_SAME_CANDIDATE,fusion_or_multiline,Kirsten E. Gillibrand [DEM/IDP/WFP] 4808878,Kirsten E. Gillibrand [DEM/IDP/WFP] 4808878,Wendy E. Long [CRV/REP] 1755466,Blank/Void/Scattering [NONE] 455963 | Christopher Edes [LIB] 31894 | Colia Clark [GRE] 42442 | John Mangelli [OTH] 21985 | Kirsten E. Gillibrand [DEM/IDP/WFP] 4808878 | Wendy E. Long [CRV/REP] 1755466
1500,2012,VT,Vermont,Class I,false,false,MANUAL_PARTY_ALIGNMENT_REQUIRED,non_unique_or_missing_D_R;winner_not_major_party,Bernie Sanders [IND] 207848,,John MacGovern [REP] 72898,Bernie Sanders [IND] 207848 | Cris Ericson [OTH] 5924 | John MacGovern [REP] 72898 | Laurel LaFramboise [OTH] 877 | Pete Diamondstone [LBU] 2511 | Peter D. Moss [OTH] 2452 | Write-in [NONE] 252
1472,2013,MA,Massachusetts,Class II,true,false,SPECIAL_ELECTION_POLICY_REQUIRED,special,Edward J. Markey [DEM] 645429,Edward J. Markey [DEM] 645429,Gabriel E. Gomez [REP] 525307,Blank [NONE] 1991 | Edward J. Markey [DEM] 645429 | Gabriel E. Gomez [REP] 525307 | Other [NONE] 2504 | Richard A. Heos [OTH] 4550
1471,2013,NJ,New Jersey,Class II,true,false,SPECIAL_ELECTION_POLICY_REQUIRED,special,Cory A. Booker [DEM] 740742,Cory A. Booker [DEM] 740742,Steven M. Lonegan [REP] 593684,Antonio N. Sabas [OTH] 1336 | Cory A. Booker [DEM] 740742 | Edward C. Stackhouse [OTH] 5138 | Eugene Martin LaVergne [DRP] 1041 | Pablo Olivera [OTH] 1530 | Robert DePasquale [IND] 3137 | Steven M. Lonegan [REP] 593684 | Stuart David Meissner [OTH] 2051
7,2014,AL,Alabama,Class II,false,true,MANUAL_RACE_RULE_REQUIRED,non_unique_or_missing_D_R,Jeff Sessions [REP] 795606,,Jeff Sessions [REP] 795606,Jeff Sessions [REP] 795606 | Write-in [NONE] 22484
