race_id,cycle,state_abbrev,state,seat,special,candidate_count,has_dem,has_rep,d_votes,r_votes,two_party_total,margin_d_minus_r_pctpt,standard_dr_race,flags,source_count
15600,1976,AZ,Arizona,Class I,false,5,true,true,400334,321236,721570,10.96193024,true,none,1
15601,1976,CA,California,Class I,false,5,true,true,3502862,3748973,7251835,-3.39377551,true,none,1
15602,1976,CT,Connecticut,Class I,false,4,true,true,561018,785683,1346701,-16.68261923,true,none,1
15603,1976,DE,Delaware,Class I,false,5,true,true,98042,125454,223496,-12.26509647,true,none,1
15604,1976,FL,Florida,Class I,false,3,true,true,1799518,1057886,2857404,25.95474774,true,none,1
15605,1976,HI,Hawaii,Class I,false,5,true,true,162305,122724,285029,13.88665715,true,none,1
15606,1976,IN,Indiana,Class I,false,4,true,true,868522,1275833,2144355,-18.99456946,true,none,1
15609,1976,MA,Massachusetts,Class I,false,5,true,true,1726657,722641,2449298,40.99199036,true,none,1
15608,1976,MD,Maryland,Class I,false,3,true,true,772101,530439,1302540,18.55313464,true,none,1
15607,1976,ME,Maine,Class I,false,2,true,true,292704,193489,486193,20.40650524,true,none,1
15610,1976,MI,Michigan,Class I,false,7,true,true,1831031,1635087,3466118,5.65312549,true,none,1
15611,1976,MN,Minnesota,Class I,false,6,true,true,1290736,478602,1769338,45.90044412,true,none,1
15613,1976,MO,Missouri,Class I,false,3,true,true,813571,1090067,1903638,-14.52461025,true,none,1
15614,1976,MT,Montana,Class I,false,2,true,true,206232,115213,321445,28.31557498,true,none,1
15620,1976,ND,North Dakota,Class I,false,3,true,true,175772,103466,279238,25.89404021,true,none,1
15615,1976,NE,Nebraska,Class I,false,4,true,true,313805,279284,593089,5.82054295,true,none,1
15617,1976,NJ,New Jersey,Class I,false,5,true,true,1681140,1054508,2735648,22.90616337,true,none,1
15618,1976,NM,New Mexico,Class I,false,4,true,true,176382,234681,411063,-14.18249757,true,none,1
15616,1976,NV,Nevada,Class I,false,5,true,true,127214,63471,190685,33.42842908,true,none,1
15619,1976,NY,New York,Class I,false,7,true,true,3422594,2836633,6259227,9.36155535,true,fusion_or_multiline,1
15621,1976,OH,Ohio,Class I,false,6,true,true,1941113,1823774,3764887,3.11666725,true,none,1
15622,1976,PA,Pennsylvania,Class I,false,7,true,true,2126977,2381891,4508868,-5.65361417,true,none,1
15623,1976,RI,Rhode Island,Class I,false,3,true,true,167665,230329,397994,-15.74496098,true,none,1
15624,1976,TN,Tennessee,Class I,false,6,true,true,751180,673231,1424411,5.47236717,true,none,1
15625,1976,TX,Texas,Class I,false,4,true,true,2199956,1636370,3836326,14.69077445,true,none,1
8736,1976,UT,Utah,Class I,false,4,true,true,223948,290221,514169,-12.88934183,true,none,1
15626,1976,VT,Vermont,Class I,false,4,true,true,85682,94481,180163,-4.88391068,true,none,1
15628,1976,WA,Washington,Class I,false,6,true,true,1071219,361546,1432765,49.53170967,true,none,1
15629,1976,WI,Wisconsin,Class I,false,7,true,true,1396970,521902,1918872,45.60325024,true,none,1
