state_abbrev,raw_lines,unique_signature_lines,duplicate_lines,raw_d_votes,raw_r_votes,dedup_d_votes,dedup_r_votes,raw_margin_pctpt,dedup_margin_pctpt,sources
AK,8,8,0,79004,167398,79004,167398,-35.87389713,-35.87389713,https://history.house.gov/Institution/Election-Statistics/
AL,16,8,8,1385222,1882346,692611,941173,-15.21388384,-15.21388384,https://history.house.gov/Institution/Election-Statistics/
AR,7,7,0,422768,472940,422768,472940,-5.60137902,-5.60137902,https://history.house.gov/Institution/Election-Statistics/
AZ,7,7,0,685341,781652,685341,781652,-6.56519833,-6.56519833,https://history.house.gov/Institution/Election-Statistics/
CA,7,7,0,5861203,4567429,5861203,4567429,12.40598000,12.40598000,https://history.house.gov/Institution/Election-Statistics/
CO,10,10,0,738227,883748,738227,883748,-8.97183989,-8.97183989,https://history.house.gov/Institution/Election-Statistics/
CT,7,7,0,816015,561094,816015,561094,18.51131610,18.51131610,https://history.house.gov/Institution/Election-Statistics/
DC,6,6,0,171923,18073,171923,18073,80.97538896,80.97538896,https://www.fec.gov/resources/cms-content/documents/FederalElections2000_PresidentialGeneralElectionResultsbyState.pdf
DE,7,7,0,180068,137288,180068,137288,13.48012957,13.48012957,https://history.house.gov/Institution/Election-Statistics/
FL,11,11,0,2912253,2912790,2912253,2912790,-0.00921882,-0.00921882,https://history.house.gov/Institution/Election-Statistics/
GA,7,7,0,1116230,1419720,1116230,1419720,-11.96750725,-11.96750725,https://history.house.gov/Institution/Election-Statistics/ ; https://www.fec.gov/resources/cms-content/documents/FederalElections2000_PresidentialGeneralElectionResultsbyState.pdf
HI,7,7,0,205286,137845,205286,137845,19.65459256,19.65459256,https://history.house.gov/Institution/Election-Statistics/
IA,10,10,0,638517,634373,638517,634373,0.32555838,0.32555838,https://history.house.gov/Institution/Election-Statistics/
ID,8,8,0,138637,336937,138637,336937,-41.69698091,-41.69698091,https://history.house.gov/Institution/Election-Statistics/ ; https://www.fec.gov/resources/cms-content/documents/FederalElections2000_PresidentialGeneralElectionResultsbyState.pdf
IL,7,7,0,2589026,2019421,2589026,2019421,12.36002063,12.36002063,https://history.house.gov/Institution/Election-Statistics/
IN,8,8,0,901980,1245836,901980,1245836,-16.00956507,-16.00956507,https://history.house.gov/Institution/Election-Statistics/
KS,7,7,0,399276,622332,399276,622332,-21.83381493,-21.83381493,https://history.house.gov/Institution/Election-Statistics/
KY,8,8,0,638923,872520,638923,872520,-15.45523053,-15.45523053,https://history.house.gov/Institution/Election-Statistics/
LA,8,8,0,792344,927871,792344,927871,-7.87849193,-7.87849193,https://history.house.gov/Institution/Election-Statistics/
MA,9,9,0,1616487,878502,1616487,878502,29.57868752,29.57868752,https://history.house.gov/Institution/Election-Statistics/
MD,8,8,0,1144008,813827,1144008,813827,16.86459788,16.86459788,https://history.house.gov/Institution/Election-Statistics/
ME,7,7,0,319951,286616,319951,286616,5.49568308,5.49568308,https://history.house.gov/Institution/Election-Statistics/
MI,7,7,0,2170418,1953139,2170418,1953139,5.26921296,5.26921296,https://history.house.gov/Institution/Election-Statistics/
MN,9,9,0,1168266,1109659,1168266,1109659,2.57282395,2.57282395,https://history.house.gov/Institution/Election-Statistics/
MO,7,7,0,1111138,1189924,1111138,1189924,-3.42389731,-3.42389731,https://history.house.gov/Institution/Election-Statistics/
MS,8,8,0,404614,572844,404614,572844,-17.21096968,-17.21096968,https://history.house.gov/Institution/Election-Statistics/
MT,7,7,0,137126,240178,137126,240178,-27.31272396,-27.31272396,https://history.house.gov/Institution/Election-Statistics/
NC,5,5,0,1257692,1631163,1257692,1631163,-12.92799396,-12.92799396,https://history.house.gov/Institution/Election-Statistics/
ND,7,7,0,95284,174852,95284,174852,-29.45479314,-29.45479314,https://history.house.gov/Institution/Election-Statistics/
NE,7,7,0,231780,433862,231780,433862,-30.35896172,-30.35896172,https://history.house.gov/Institution/Election-Statistics/
NH,7,7,0,266348,273559,266348,273559,-1.33560039,-1.33560039,https://history.house.gov/Institution/Election-Statistics/
NJ,9,9,0,1788850,1284173,1788850,1284173,16.42281883,16.42281883,https://history.house.gov/Institution/Election-Statistics/
NM,7,7,0,286783,286417,286783,286417,0.06385206,0.06385206,https://history.house.gov/Institution/Election-Statistics/
NV,10,10,0,279978,301575,279978,301575,-3.71367700,-3.71367700,https://history.house.gov/Institution/Election-Statistics/
NY,14,14,0,3942215,2258577,3942215,2258577,27.15198317,27.15198317,https://history.house.gov/Institution/Election-Statistics/
OH,8,8,0,2183628,2350363,2183628,2350363,-3.67744444,-3.67744444,https://history.house.gov/Institution/Election-Statistics/
OK,4,4,0,474276,744337,474276,744337,-22.16134244,-22.16134244,https://history.house.gov/Institution/Election-Statistics/
OR,8,8,0,720342,713577,720342,713577,0.47178397,0.47178397,https://history.house.gov/Institution/Election-Statistics/
PA,6,6,0,2485967,2281127,2485967,2281127,4.29695743,4.29695743,https://history.house.gov/Institution/Election-Statistics/
RI,11,11,0,249508,130555,249508,130555,31.29823214,31.29823214,https://history.house.gov/Institution/Election-Statistics/
SC,7,7,0,566037,786892,566037,786892,-16.32421214,-16.32421214,https://history.house.gov/Institution/Election-Statistics/
SD,5,5,0,118804,190700,118804,190700,-23.22942514,-23.22942514,https://history.house.gov/Institution/Election-Statistics/
TN,10,10,0,981720,1061949,981720,1061949,-3.92573357,-3.92573357,https://history.house.gov/Institution/Election-Statistics/
TX,8,8,0,2433746,3799639,2433746,3799639,-21.91254030,-21.91254030,https://history.house.gov/Institution/Election-Statistics/
UT,10,10,0,203053,515096,203053,515096,-43.45101086,-43.45101086,https://history.house.gov/Institution/Election-Statistics/
VA,7,7,0,1217290,1437490,1217290,1437490,-8.29447261,-8.29447261,https://history.house.gov/Institution/Election-Statistics/
VT,11,11,0,149022,119775,149022,119775,10.88070179,10.88070179,https://history.house.gov/Institution/Election-Statistics/
WA,10,10,0,1247652,1108864,1247652,1108864,5.88954202,5.88954202,https://history.house.gov/Institution/Election-Statistics/
WI,10,10,0,1242987,1237279,1242987,1237279,0.23013661,0.23013661,https://history.house.gov/Institution/Election-Statistics/
WV,8,8,0,295497,336475,295497,336475,-6.48414803,-6.48414803,https://history.house.gov/Institution/Election-Statistics/
WY,6,6,0,60481,147947,60481,147947,-41.96461128,-41.96461128,https://history.house.gov/Institution/Election-Statistics/
