state_abbrev,race_id,record_id,candidate_name,party,ballot_party,votes,percent,source,signature_count
AL,807,7,,,,699,0.020974966872155328,https://history.house.gov/Institution/Election-Statistics/,2
AL,807,16,,,,699,0.020974966872155328,https://history.house.gov/Institution/Election-Statistics/,2
AL,807,15,George W. Bush,,REP,941173,28.241877676633827,https://history.house.gov/Institution/Election-Statistics/,2
AL,807,1,George W. Bush,,REP,941173,28.241877676633827,https://history.house.gov/Institution/Election-Statistics/,2
AL,807,6,Howard Phillips,,IND,775,0.023255506904034877,https://history.house.gov/Institution/Election-Statistics/,2
AL,807,12,Howard Phillips,,IND,775,0.023255506904034877,https://history.house.gov/Institution/Election-Statistics/,2
AL,807,2,Al Gore,,DEM,692611,20.78325147394903,https://history.house.gov/Institution/Election-Statistics/,2
AL,807,9,Al Gore,,DEM,692611,20.78325147394903,https://history.house.gov/Institution/Election-Statistics/,2
AL,807,8,John Hagelin,,IND,447,0.013413176240133665,https://history.house.gov/Institution/Election-Statistics/,2
AL,807,13,John Hagelin,,IND,447,0.013413176240133665,https://history.house.gov/Institution/Election-Statistics/,2
AL,807,10,Ralph Nader,,IND,18323,0.5498201974227497,https://history.house.gov/Institution/Election-Statistics/,2
AL,807,3,Ralph Nader,,IND,18323,0.5498201974227497,https://history.house.gov/Institution/Election-Statistics/,2
AL,807,11,Patrick J. Buchanan,,IND,6351,0.19057512819035546,https://history.house.gov/Institution/Election-Statistics/,2
AL,807,4,Patrick J. Buchanan,,IND,6351,0.19057512819035546,https://history.house.gov/Institution/Election-Statistics/,2
AL,807,5,Harry Browne,,LIB,5893,0.17683187378771292,https://history.house.gov/Institution/Election-Statistics/,2
AL,807,14,Harry Browne,,LIB,5893,0.17683187378771292,https://history.house.gov/Institution/Election-Statistics/,2
