cycle,state_abbrev,d_votes,r_votes,two_party_total,state_margin_d_minus_r_pctpt,national_margin_d_minus_r_pctpt,lean_vs_national_pctpt,race_id_count,race_ids
2000,AK,79004,167398,246402,-35.87389713,0.28260962,-36.15650675,1,806
2000,AL,1385222,1882346,3267568,-15.21388384,0.28260962,-15.49649347,1,807
2000,AR,422768,472940,895708,-5.60137902,0.28260962,-5.88398865,1,808
2000,AZ,685341,781652,1466993,-6.56519833,0.28260962,-6.84780796,1,809
2000,CA,5861203,4567429,10428632,12.40598000,0.28260962,12.12337037,1,810
2000,CO,738227,883748,1621975,-8.97183989,0.28260962,-9.25444951,1,811
2000,CT,816015,561094,1377109,18.51131610,0.28260962,18.22870647,1,812
2000,DC,171923,18073,189996,80.97538896,0.28260962,80.69277933,1,813
2000,DE,180068,137288,317356,13.48012957,0.28260962,13.19751995,1,814
2000,FL,2912253,2912790,5825043,-0.00921882,0.28260962,-0.29182844,1,815
2000,GA,1116230,1419720,2535950,-11.96750725,0.28260962,-12.25011687,1,816
2000,HI,205286,137845,343131,19.65459256,0.28260962,19.37198294,1,817
2000,IA,638517,634373,1272890,0.32555838,0.28260962,0.04294875,1,818
2000,ID,138637,336937,475574,-41.69698091,0.28260962,-41.97959054,1,819
2000,IL,2589026,2019421,4608447,12.36002063,0.28260962,12.07741101,1,820
2000,IN,901980,1245836,2147816,-16.00956507,0.28260962,-16.29217469,1,821
2000,KS,399276,622332,1021608,-21.83381493,0.28260962,-22.11642455,1,822
2000,KY,638923,872520,1511443,-15.45523053,0.28260962,-15.73784016,1,823
2000,LA,792344,927871,1720215,-7.87849193,0.28260962,-8.16110156,1,824
2000,MA,1616487,878502,2494989,29.57868752,0.28260962,29.29607790,1,825
2000,MD,1144008,813827,1957835,16.86459788,0.28260962,16.58198826,1,826
2000,ME,319951,286616,606567,5.49568308,0.28260962,5.21307346,1,827
2000,MI,2170418,1953139,4123557,5.26921296,0.28260962,4.98660334,1,828
2000,MN,1168266,1109659,2277925,2.57282395,0.28260962,2.29021433,1,829
2000,MO,1111138,1189924,2301062,-3.42389731,0.28260962,-3.70650694,1,830
2000,MS,404614,572844,977458,-17.21096968,0.28260962,-17.49357930,1,831
2000,MT,137126,240178,377304,-27.31272396,0.28260962,-27.59533358,1,832
2000,NC,1257692,1631163,2888855,-12.92799396,0.28260962,-13.21060359,1,833
2000,ND,95284,174852,270136,-29.45479314,0.28260962,-29.73740277,1,834
2000,NE,231780,433862,665642,-30.35896172,0.28260962,-30.64157135,1,835
2000,NH,266348,273559,539907,-1.33560039,0.28260962,-1.61821002,1,836
2000,NJ,1788850,1284173,3073023,16.42281883,0.28260962,16.14020921,1,837
2000,NM,286783,286417,573200,0.06385206,0.28260962,-0.21875757,1,838
2000,NV,279978,301575,581553,-3.71367700,0.28260962,-3.99628662,1,839
2000,NY,4107697,2403374,6511071,26.17577047,0.28260962,25.89316084,1,840
2000,OH,2183628,2350363,4533991,-3.67744444,0.28260962,-3.96005407,1,841
2000,OK,474276,744337,1218613,-22.16134244,0.28260962,-22.44395207,1,842
2000,OR,720342,713577,1433919,0.47178397,0.28260962,0.18917435,1,843
2000,PA,2485967,2281127,4767094,4.29695743,0.28260962,4.01434781,1,844
2000,RI,249508,130555,380063,31.29823214,0.28260962,31.01562251,1,845
2000,SC,566037,786892,1352929,-16.32421214,0.28260962,-16.60682176,1,846
