state_abbrev,recent_pres_year,older_pres_year,lean_recent_pctpt,lean_older_pctpt,pvi_default_067_033_pctpt
AK,2024,2020,-12.42880597,-14.94118978,-13.25789263
AL,2024,2020,-29.61690474,-30.24024200,-29.82260604
AR,2024,2020,-30.07566736,-32.84235889,-30.98867556
AZ,2024,2020,-4.32399881,-4.10382897,-4.25134276
CA,2024,2020,22.06460426,25.40033039,23.16539388
CO,2024,2020,12.55740258,9.45914666,11.53497812
CT,2024,2020,16.02078409,15.97260585,16.00488527
DE,2024,2020,16.22279040,14.83599600,15.76514825
FL,2024,2020,-11.95781975,-7.80700165,-10.58804978
GA,2024,2020,-0.94441319,-4.17883300,-2.01177173
HI,2024,2020,24.82497078,25.64783696,25.09651662
IA,2024,2020,-12.18127859,-12.78401850,-12.38018276
ID,2024,2020,-36.25752207,-36.17177818,-36.22922658
IL,2024,2020,12.39984993,12.90059514,12.56509585
IN,2024,2020,-18.04059255,-20.80758834,-18.95370116
KS,2024,2020,-15.14715478,-19.40434884,-16.55202882
KY,2024,2020,-29.76382292,-30.81769813,-30.11160174
LA,2024,2020,-21.09270170,-23.34637324,-21.83641331
M1,2024,2020,23.59338796,19.35713763,22.19542535
M2,2024,2020,-8.46066402,-12.07948451,-9.65487478
MA,2024,2020,27.17536379,29.81360675,28.04598397
MD,2024,2020,30.77383317,29.64060176,30.39986681
ME,2024,2020,8.35293075,4.92331683,7.22115816
MI,2024,2020,-0.17815454,-1.59037364,-0.64418685
MN,2024,2020,5.60772347,2.86153497,4.70148126
MO,2024,2020,-17.41040151,-20.08913362,-18.29438311
MS,2024,2020,-21.88070910,-21.18746398,-21.65193821
MT,2024,2020,-19.31377793,-21.21185251,-19.94014254
N1,2024,2020,-11.96400677,-19.78426447,-14.54469181
N2,2024,2020,5.94864857,2.25965256,4.73127988
N3,2024,2020,-53.16646268,-58.69078740,-54.98948984
NC,2024,2020,-1.99636109,-5.78589364,-3.24690683
ND,2024,2020,-36.12866702,-38.85230918,-37.02746893
NE,2024,2020,-19.57636419,-23.98559682,-21.03141096
NH,2024,2020,4.08547861,3.08025937,3.75375626
NJ,2024,2020,7.29206655,11.72507484,8.75495929
NM,2024,2020,7.40613134,6.61948797,7.14653903
NV,2024,2020,-1.89469879,-1.97125765,-1.91996322
NY,2024,2020,13.95380523,19.01617746,15.62438807
OH,2024,2020,-10.04891031,-12.57088762,-10.88116283
OK,2024,2020,-33.67576470,-38.29757132,-35.20096088
OR,2024,2020,16.13043518,12.19682164,14.83234272
PA,2024,2020,-0.46206558,-3.23908181,-1.37848093
RI,2024,2020,15.42672538,16.78122744,15.87371106
SC,2024,2020,-16.85904611,-16.27070983,-16.66489514
SD,2024,2020,-28.62587996,-31.28705205,-29.50406675
TN,2024,2020,-28.85678054,-28.07303307,-28.59814388
TX,2024,2020,-12.61374869,-10.07893480,-11.77726011
UT,2024,2020,-20.94638012,-25.80470257,-22.54962653
VA,2024,2020,7.15561594,5.89188167,6.73858363
VT,2024,2020,34.03475489,32.18088078,33.42297643
WA,2024,2020,20.19387059,15.43351404,18.62295293
WI,2024,2020,0.39093033,-3.77936580,-0.98526739
WV,2024,2020,-41.42346545,-44.01455696,-42.27852564
WY,2024,2020,-45.69402693,-49.37836108,-46.90985720
