president,start_date,end_date,approval,disapproval,unsure,source_url
George W. Bush,01/09/2009,01/11/2009,34.0,61.0,5,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,12/12/2008,12/14/2008,29.0,67.0,4,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,12/04/2008,12/07/2008,32.0,61.0,7,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,11/13/2008,11/16/2008,29.0,66.0,5,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,11/07/2008,11/09/2008,28.0,68.0,4,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,10/31/2008,11/02/2008,25.0,70.0,5,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,10/23/2008,10/26/2008,31.0,66.0,3,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,10/10/2008,10/12/2008,25.0,71.0,4,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,10/03/2008,10/05/2008,25.0,70.0,5,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,09/26/2008,09/27/2008,27.0,69.0,4,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,09/08/2008,09/11/2008,31.0,65.0,4,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,09/05/2008,09/07/2008,33.0,64.0,3,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,08/21/2008,08/23/2008,29.0,66.0,5,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,08/07/2008,08/10/2008,33.0,61.0,6,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,07/25/2008,07/27/2008,32.0,65.0,3,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,07/10/2008,07/13/2008,31.0,61.0,8,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,06/15/2008,06/19/2008,28.0,68.0,4,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,06/09/2008,06/12/2008,30.0,64.0,6,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,05/30/2008,06/01/2008,28.0,68.0,4,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,05/08/2008,05/11/2008,29.0,65.0,6,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,05/01/2008,05/03/2008,28.0,67.0,5,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,04/18/2008,04/20/2008,28.0,69.0,3,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,04/06/2008,04/09/2008,28.0,67.0,5,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,03/14/2008,03/16/2008,32.0,64.0,4,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,03/06/2008,03/09/2008,32.0,64.0,4,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,02/21/2008,02/24/2008,32.0,62.0,6,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,02/11/2008,02/14/2008,31.0,65.0,4,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,02/08/2008,02/10/2008,33.0,61.0,6,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,01/30/2008,02/02/2008,34.0,61.0,5,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,1/10/2008,1/13/2008,34.0,60.0,6,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,01/04/2008,01/06/2008,32.0,64.0,4,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,12/14/2007,12/16/2007,32.0,65.0,3,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,12/6/2007,12/9/2007,37.0,57.0,6,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,11/30/2007,12/02/2007,34.0,62.0,4,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,11/11/2007,11/14/2007,32.0,61.0,7,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,11/02/2007,11/04/2007,31.0,64.0,5,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,10/12/2007,10/14/2007,32.0,64.0,4,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,10/04/2007,10/07/2007,32.0,64.0,4,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,09/14/2007,09/16/2007,36.0,62.0,2,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,09/07/2007,09/08/2007,33.0,62.0,5,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,08/13/2007,08/16/2007,32.0,63.0,5,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,08/03/2007,08/05/2007,34.0,62.0,4,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,07/12/2007,07/15/2007,31.0,63.0,6,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,07/06/2007,07/08/2007,29.0,66.0,5,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,06/11/2007,06/14/2007,32.0,65.0,3,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,06/01/2007,06/03/2007,32.0,62.0,6,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,05/10/2007,05/13/2007,33.0,62.0,5,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,05/04/2007,05/06/2007,34.0,63.0,3,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,04/13/2007,04/15/2007,36.0,60.0,4,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,04/02/2007,04/05/2007,38.0,58.0,4,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,03/23/2007,03/25/2007,34.0,62.0,4,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,03/11/2007,03/14/2007,35.0,61.0,4,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,03/02/2007,03/04/2007,33.0,63.0,4,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,02/09/2007,02/11/2007,37.0,59.0,4,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,02/01/2007,02/04/2007,32.0,65.0,3,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,1/15/2007,1/18/2007,36.0,61.0,3,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,01/12/2007,1/14/2007,34.0,63.0,3,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,01/05/2007,1/7/2007,37.0,59.0,4,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,12/11/2006,12/14/2006,35.0,61.0,4,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
