state_abbrev,side,target_name,matched_name,politician_id,match_score,second_score
AK,D,Mary Peltola,Mary Jordan,,0.48478260869565226,0.43518518518518523
AK,R,Dan Sullivan,Dan Sullivan,4545,1.0,0.7074074074074075
GA,D,Jon Ossoff,Jon Ossoff,8280,1.0,0.4708333333333333
GA,R,Mike Collins,Doug Collins,,0.6666666666666667,0.5
IA,D,Josh Turek,John Culver,,0.4642857142857143,0.4580000000000001
IA,R,Ashley Hinson,Jay Robinson,,0.35200000000000004,0.3192307692307692
ME,D,Troy Jackson,Terry Hayes,,0.43695652173913047,0.3944444444444445
ME,R,Susan Collins,Susan M. Collins,1602,0.9607142857142857,0.3944444444444445
MI,D,Abdul El-Sayed,Angelo Scott Brown,,0.321875,0.312962962962963
MI,R,Mike Rogers,Mike Rogers,2971,1.0,0.4642857142857143
NH,D,Chris Pappas,Chris Sununu,,0.4708333333333333,0.43695652173913047
NH,R,John Sununu,John E. Sununu,1650,0.9541666666666667,0.682608695652174
NC,D,Roy Cooper,Roy A. Cooper,6803,0.9500000000000001,0.37916666666666665
NC,R,Michael Whatley,Michael A. Beitler,,0.5625,0.5271428571428571
OH,D,Sherrod Brown,Sherrod Brown,1025,1.0,0.3615384615384616
OH,R,Jon Husted,John Cheng,,0.48,0.44999999999999996
TX,D,James Talarico,James Dillon,,0.4884615384615385,0.45344827586206893
TX,R,Ken Paxton,Kay Bailey Hutchison,,0.37,0.321875
