state_abbrev,side,target_candidate,match_score,fec_name,cand_id,coverage_end,total_receipts,individual_contrib,cash_on_hand
AK,D,Mary Peltola,0.6433333333333333,"PELTOLA, MARY",H2AK01158,02/13/2026,152304.86,63252.17,3483.06
AK,R,Dan Sullivan,0.7266666666666666,"SULLIVAN, DAN",S4AK00214,07/29/2026,9136966.96,4093298.45,7295069.2
GA,D,Jon Ossoff,0.72,"GRAY, THOMAS JONATHAN JACKSON",H6GA14235,06/30/2026,327582.8,321582.8,2970.91
GA,R,Mike Collins,0.7266666666666666,"PONS, MICHAEL LOUIS MR",H4GA11129,12/31/2025,0,0,0
IA,D,Josh Turek,0.56,"TUREK, JOSHUA",S6IA00298,06/30/2026,6276526.9,5835816.67,2362313.78
IA,R,Ashley Hinson,0.8028571428571429,"ARENHOLZ, ASHLEY HINSON",H0IA01174,06/30/2026,10217845.39,5267628.55,6749491.49
ME,D,Troy Jackson,0.49478260869565216,"WOOD, JORDAN",H6ME02197,06/30/2026,6044820.45,5524532.14,197674.7
ME,R,Susan Collins,0.56,"COLLINS, SUSAN M.",S6ME00159,06/30/2026,16169827.43,10501136.6,11038115.42
MI,D,Abdul El-Sayed,0.6314285714285715,"EL-SAYED, ABDUL",S6MI00418,07/15/2026,14514335.93,14408058.06,2552762.55
MI,R,Mike Rogers,0.6525925925925926,"MICHAL, JUSTIN",H6MI01242,07/15/2026,59774.29,39184.29,8945.82
NH,D,Chris Pappas,0.56,"PAPPAS, CHRIS",H8NH01210,08/19/2026,15384656.83,13527025.65,4251917.81
NH,R,John Sununu,0.56,"SUNUNU, JOHN E",S6NH00208,08/19/2026,4180251.88,2398775.12,3070033.12
NC,D,Roy Cooper,0.6599999999999999,"COOPER, ROY",S6NC00407,06/30/2026,34975789.18,13115398.02,20717567.26
NC,R,Michael Whatley,0.6666666666666666,"NICKEL, WILEY",H2NC14019,03/20/2026,588995,534864.47,0
OH,D,Sherrod Brown,0.6666666666666666,"HOOD, RON",H4OH02271,10/27/2025,0,0,0
OH,R,Jon Husted,0.6599999999999999,"HUSTED, JON",S6OH00304,06/30/2026,14360027.53,6280012.05,9419311.2
TX,D,James Talarico,0.6314285714285715,"TALARICO, JAMES",S6TX00479,06/30/2026,68560930.42,65585741.88,21548155.08
TX,R,Ken Paxton,0.7266666666666666,"PAXTON, WARREN KENNETH JR.",S6TX00388,06/30/2026,9248698.53,9020177.98,1755783.35
