state_abbrev,metric,d_candidate,d_match,d_score,r_candidate,r_match,r_score
AK,receipts,Mary Peltola,,0,Dan Sullivan,,0
AK,individual,Mary Peltola,,0,Dan Sullivan,,0
AK,cash,Mary Peltola,,0,Dan Sullivan,,0
GA,receipts,Jon Ossoff,,0,Mike Collins,,0
GA,individual,Jon Ossoff,,0,Mike Collins,,0
GA,cash,Jon Ossoff,,0,Mike Collins,,0
IA,receipts,Josh Turek,,0,Ashley Hinson,,0
IA,individual,Josh Turek,,0,Ashley Hinson,,0
IA,cash,Josh Turek,,0,Ashley Hinson,,0
ME,receipts,Troy Jackson,,0,Susan Collins,,0
ME,individual,Troy Jackson,,0,Susan Collins,,0
ME,cash,Troy Jackson,,0,Susan Collins,,0
MI,receipts,Abdul El-Sayed,,0,Mike Rogers,,0
MI,individual,Abdul El-Sayed,,0,Mike Rogers,,0
MI,cash,Abdul El-Sayed,,0,Mike Rogers,,0
NH,receipts,Chris Pappas,,0,John Sununu,,0
NH,individual,Chris Pappas,,0,John Sununu,,0
NH,cash,Chris Pappas,,0,John Sununu,,0
NC,receipts,Roy Cooper,,0,Michael Whatley,,0
NC,individual,Roy Cooper,,0,Michael Whatley,,0
NC,cash,Roy Cooper,,0,Michael Whatley,,0
OH,receipts,Sherrod Brown,,0,Jon Husted,,0
OH,individual,Sherrod Brown,,0,Jon Husted,,0
OH,cash,Sherrod Brown,,0,Jon Husted,,0
TX,receipts,James Talarico,,0,Ken Paxton,,0
TX,individual,James Talarico,,0,Ken Paxton,,0
TX,cash,James Talarico,,0,Ken Paxton,,0
