state_abbrev,side,target_candidate,matched_candidate,match_score,prior_cycle,prior_office,prior_race_id,own_party_overperf_vs_pvi_pctpt,own_party_overperf_cycle_adjusted_pctpt
AK,R,Dan Sullivan,Dan Sullivan,1.0,2014,Senate,12,-19.893517263186723,-21.317785851137046
AK,R,Dan Sullivan,Dan Sullivan,1.0,2020,Senate,6265,-5.490176626606033,-0.23740393586237918
GA,D,Jon Ossoff,Jon Ossoff,1.0,2020,Senate,6271,7.140419671168227,1.940880627023354
ME,R,Susan Collins,Susan M. Collins,0.9571428571428572,2008,Senate,1558,32.21317160437862,45.33886083360814
ME,R,Susan Collins,Susan M. Collins,0.9571428571428572,2014,Senate,9,48.27785489689359,48.98394168894578
ME,R,Susan Collins,Susan M. Collins,0.9571428571428572,2020,Senate,6279,13.749982788710646,19.623405783174192
MI,R,Mike Rogers,Mike Rogers,1.0,2024,Senate,9515,-2.3089437561113892,-2.2447700600703864
NH,R,John Sununu,John E. Sununu,0.95,2008,Senate,1566,-4.56906852055214,7.44200737155826
NC,D,Roy Cooper,Roy A. Cooper,0.9454545454545454,2016,Governor,52,6.557860730141762,7.409356601079759
NC,D,Roy Cooper,Roy A. Cooper,0.9454545454545454,2020,Governor,7824,10.595726802546725,19.918047878117715
OH,D,Sherrod Brown,Sherrod Brown,1.0,2006,Senate,1602,13.492408663721797,-0.14510636771409047
OH,D,Sherrod Brown,Sherrod Brown,1.0,2012,Senate,1494,7.983414261839652,-1.6621946242247692
OH,D,Sherrod Brown,Sherrod Brown,1.0,2018,Senate,117,14.351106722713482,2.4511351194350706
OH,D,Sherrod Brown,Sherrod Brown,1.0,2024,Senate,9526,8.305682315895776,8.42322797015127
