snapshot_target,release_or_listing_date,field_end_date,state,race,pollster,raw_left_value,raw_right_value,raw_left_minus_right,normalized_D_minus_R,orientation_fix,sample_size,population,age_days,included_30d,recency_weight,sample_size_weight,combined_weight,match_status,sample_source_name,sample_source_url
2026-09-19,2026-09-19,2026-09-18,IA,Hinson vs Turek,Trafalgar Group,42,44,-2,2.0,R_vs_D_inverted,1089,LV,1,1,0.9516951530106196,1.347219358530748,1.282142133555789,exact_release_date,Call the Map Iowa Senate archive,https://www.callthemap.com/polls/SEN-IA
2026-09-19,2026-09-18,2026-09-17,TX,Paxton vs Talarico,Trafalgar Group,46,45,1,-1.0,R_vs_D_inverted,1079,LV,2,1,0.9057236642639067,1.3410195126594293,1.2145931068552966,exact_release_date,270toWin Texas Senate polls,https://www.270towin.com/2026-senate-polls/texas
2026-09-19,2026-09-18,2026-09-17,MI,Rogers vs El-Sayed,InsiderAdvantage,47,45,2,-2.0,R_vs_D_inverted,1200,LV,2,1,0.9057236642639067,1.4142135623730951,1.2808866897642728,exact_release_date,Call the Map Michigan Senate ledger,https://www.callthemap.com/senate/michigan
2026-09-19,2026-09-18,2026-09-17,NH,Sununu vs Pappas,InsiderAdvantage,48,40,8,-8.0,R_vs_D_inverted,1200,LV,2,1,0.9057236642639067,1.4142135623730951,1.2808866897642728,exact_release_date,Call the Map New Hampshire Senate archive,https://www.callthemap.com/polls/SEN-NH
2026-09-19,2026-09-18,2026-09-17,NC,Whatley vs Cooper,InsiderAdvantage,48,43,5,-5.0,R_vs_D_inverted,1200,LV,2,1,0.9057236642639067,1.4142135623730951,1.2808866897642728,exact_release_date,Call the Map North Carolina Senate archive,https://www.callthemap.com/polls/SEN-NC
2026-09-19,2026-09-18,2026-09-16,GA,Collins vs Ossoff,Quantus Insights,49,45,4,-4.0,R_vs_D_inverted,645,LV,3,1,0.8619728212469777,1.036822067666386,0.8937124427975195,same_survey_variant,Call the Map Georgia Senate ledger,https://www.callthemap.com/senate/georgia
2026-09-19,2026-09-17,2026-09-14,TX,Paxton vs Talarico,Emerson,47,46,1,-1.0,R_vs_D_inverted,1000,LV,5,1,0.7807091821557101,1.2909944487358056,1.0078912202400925,exact_release_date,270toWin Texas Senate polls,https://www.270towin.com/2026-senate-polls/texas
2026-09-19,2026-09-17,2026-09-11,TX,Paxton vs Talarico,Texas A&M/Siena,49,43,6,-6.0,R_vs_D_inverted,614,LV,8,1,0.6729500963161781,1.011599393699568,0.6807559094235116,exact_release_date,270toWin Texas Senate polls,https://www.270towin.com/2026-senate-polls/texas
2026-09-19,2026-09-17,2026-09-14,MI,Rogers vs El-Sayed,Emerson,48,46,2,-2.0,R_vs_D_inverted,1000,LV,5,1,0.7807091821557101,1.2909944487358056,1.0078912202400925,exact_release_date,Call the Map Michigan Senate ledger,https://www.callthemap.com/senate/michigan
2026-09-19,2026-09-17,2026-09-14,MI,Rogers vs El-Sayed,Washington Post,48,45,3,-3.0,R_vs_D_inverted,803,LV,5,1,0.7807091821557101,1.1568635759385517,0.9031740162367169,exact_release_date,Call the Map Michigan Senate ledger,https://www.callthemap.com/senate/michigan
2026-09-19,2026-09-17,2026-09-11,AK,Sullivan vs Peltola,Fabrizio/Anzalone,53,47,6,-6.0,R_vs_D_inverted,800,LV,8,1,0.6729500963161781,1.1547005383792515,0.77705583851866,exact_variant,Call the Map Alaska Senate archive,https://www.callthemap.com/polls/SEN-AK
