cycle,family,n,correct,accuracy_pct
2008,incumbency_era,28,24,85.71428571428571
2008,no_incumbency,28,24,85.71428571428571
2010,incumbency_era,35,27,77.14285714285714
2010,no_incumbency,35,29,82.85714285714286
2012,incumbency_era,33,29,87.87878787878788
2012,no_incumbency,33,28,84.84848484848484
2014,incumbency_era,33,32,96.96969696969697
2014,no_incumbency,33,30,90.9090909090909
2016,incumbency_era,32,29,90.625
2016,no_incumbency,32,28,87.5
2018,incumbency_era,33,29,87.87878787878788
2018,no_incumbency,33,30,90.9090909090909
2020,incumbency_era,32,29,90.625
2020,no_incumbency,32,29,90.625
2022,incumbency_era,33,33,100.0
2022,no_incumbency,33,32,96.96969696969697
