cycle,race_id,state,side,candidate,score,fec_candidate_id,fec_candidate_name,party,pcc
2014,23,CO,D,Mark Udall,0.5345454545454545,,,,
2014,23,CO,R,Cory Gardner,0.6633333333333333,,,,
2014,24,DE,D,Christopher A. Coons,0.7642105263157895,,,,
2014,24,DE,R,Kevin Wade,0.6254545454545454,,,,
2014,17,GA,D,Mary Michelle Nunn,0.8022222222222222,,,,
2014,17,GA,R,David A. Perdue,0.5415384615384615,,,,
2014,27,ID,D,Nels Mitchell,0.5371428571428571,,,,
2014,27,ID,R,James E. Risch,0.6184615384615384,,,,
2014,4,IL,D,Richard J. Durbin,0.6425,,,,
2014,4,IL,R,James D. Oberweis,0.58,,,,
2014,26,IA,D,Bruce L. Braley,0.58,,,,
2014,26,IA,R,Joni K. Ernst,0.58,,,,
2014,15,KY,D,Alison Lundergan Grimes,0.7756521739130434,,,,
2014,15,KY,R,Mitch McConnell,0.6799999999999999,,,,
2014,5,MT,D,Amanda G. Curtis,0.5085714285714286,,,,
2014,5,MT,R,Steve Daines,0.5599999999999999,,,,
2014,1,NE,D,Dave Domina,0.5599999999999999,,,,
2014,1,NE,R,Ben Sasse,0.6514285714285714,,,,
2014,9,ME,D,Shenna Bellows,0.58,,,,
2014,9,ME,R,Susan M. Collins,0.5466666666666666,,,,
2014,10,NJ,D,Cory A. Booker,0.5415384615384615,,,,
2014,10,NJ,R,Jeff Bell,0.5561904761904761,,,,
2014,8,NH,D,Jeanne Shaheen,0.58,,,,
2014,8,NH,R,Scott Brown,0.5345454545454545,,,,
2014,30,WV,D,Natalie E. Tennant,0.5175,,,,
2014,30,WV,R,Shelley Moore Capito,0.73,,,,
2014,16,VA,D,Mark R. Warner,0.5961290322580645,,,,
2014,16,VA,R,Ed W. Gillespie,0.6425,,,,
2014,19,TX,D,David M. Alameel,0.5466666666666666,,,,
2014,19,TX,R,John Cornyn,0.6254545454545454,,,,
2014,28,TN,D,William Gordon Ball,0.6799999999999999,,,,
2014,28,TN,R,Lamar Alexander,0.6799999999999999,,,,
2014,22,SD,D,Richard P. Weiland,0.6205405405405405,,,,
2014,22,SD,R,M. Michael Rounds,0.5664864864864865,,,,
2014,11,SC,D,Charles Bradley Hutto,0.7942857142857143,,,,
2014,11,SC,R,Lindsey Graham,0.5648484848484848,,,,
2014,33,RI,D,Jack Reed,0.58,,,,
2014,33,RI,R,Mark S. Zaccaria,0.6133333333333333,,,,
2014,20,OR,D,Jeff Merkley,0.5175,,,,
2014,20,OR,R,Monica Wehby,0.58,,,,
2014,29,OK,D,Matt Silverstein,0.58,,,,
2014,29,OK,R,James M. Inhofe,0.58,,,,
2014,14,NC,D,Kay R. Hagan,0.5345454545454545,,,,
2014,14,NC,R,Thomas Roland Tillis,0.5042424242424243,,,,
2014,3,NM,D,Tom Udall,0.6355555555555555,,,,
2014,3,NM,R,Allen E. Weh,0.58,,,,
2014,18,MS,D,Travis W. Childers,0.5505882352941176,,,,
2014,18,MS,R,Thad Cochran,0.6633333333333333,,,,
2014,6,MN,D,Al Franken,0.7799999999999999,,,,
2014,6,MN,R,Mike McFadden,0.6317241379310344,,,,
2014,2,MI,D,Gary C. Peters,0.58,,,,
2014,2,MI,R,Terri Lynn Land,0.7466666666666666,,,,
2014,12,AK,D,Mark Begich,0.6254545454545454,,,,
2014,12,AK,R,Dan Sullivan,0.7466666666666666,,,,
2014,32,AR,D,Mark L. Pryor,0.5961290322580645,,,,
2014,32,AR,R,Tom Cotton,0.6017391304347826,,,,
2014,34,HI,D,Brian Schatz,0.58,,,,
2014,34,HI,R,Cam Cavasso,0.5985185185185184,,,,
2014,35,OK,D,Constance N. Johnson,0.6381395348837209,,,,
2014,35,OK,R,James Lankford,0.5648484848484848,,,,
2014,13,WY,D,Charlie Hardy,0.58,,,,
2014,13,WY,R,Michael B. Enzi,0.7228571428571429,,,,
2014,31,MA,D,Edward J. Markey,0.6911111111111111,,,,
2014,31,MA,R,Brian J. Herr,0.6633333333333333,,,,
2014,36,SC,D,Joyce Dickerson,0.6799999999999999,,,,
