cycle,race_id,state,metric,d_candidate,d_match,d_score,r_candidate,r_match,r_score
2014,23,CO,receipts,Mark Udall,"UDALL, MARK E",0.9812121212121212,Cory Gardner,"GARDNER, CORY",1.06
2014,23,CO,individual,Mark Udall,"UDALL, MARK E",0.9812121212121212,Cory Gardner,"GARDNER, CORY",1.06
2014,23,CO,cash,Mark Udall,"UDALL, MARK E",0.9812121212121212,Cory Gardner,"GARDNER, CORY",1.06
2014,24,DE,receipts,Christopher A. Coons,"COONS, CHRISTOPHER A",1.06,Kevin Wade,,0.06896551724137931
2014,24,DE,individual,Christopher A. Coons,"COONS, CHRISTOPHER A",1.06,Kevin Wade,,0.06896551724137931
2014,24,DE,cash,Christopher A. Coons,"COONS, CHRISTOPHER A",1.06,Kevin Wade,,0.06896551724137931
2014,17,GA,receipts,Mary Michelle Nunn,"NUNN, MARY MICHELLE",1.06,David A. Perdue,"PERDUE, DAVID",0.9882051282051283
2014,17,GA,individual,Mary Michelle Nunn,"NUNN, MARY MICHELLE",1.06,David A. Perdue,,0.125
2014,17,GA,cash,Mary Michelle Nunn,"NUNN, MARY MICHELLE",1.06,David A. Perdue,,0.125
2014,27,ID,receipts,Nels Mitchell,,0,James E. Risch,,0
2014,27,ID,individual,Nels Mitchell,,0,James E. Risch,,0
2014,27,ID,cash,Nels Mitchell,,0.23076923076923078,James E. Risch,"RISCH, JAMES E",1.06
2014,4,IL,receipts,Richard J. Durbin,"DURBIN, RICHARD J",1.06,James D. Oberweis,,0.15625
2014,4,IL,individual,Richard J. Durbin,"DURBIN, RICHARD J",1.06,James D. Oberweis,,0.15625
2014,4,IL,cash,Richard J. Durbin,"DURBIN, RICHARD J",1.06,James D. Oberweis,"OBERWEIS, JAMES D ""JIM""",0.9794444444444446
2014,26,IA,receipts,Bruce L. Braley,"BRALEY, BRUCE L",1.06,Joni K. Ernst,,0.18
2014,26,IA,individual,Bruce L. Braley,"BRALEY, BRUCE L",1.06,Joni K. Ernst,"ERNST, JONI K",1.06
2014,26,IA,cash,Bruce L. Braley,"BRALEY, BRUCE L",1.06,Joni K. Ernst,"ERNST, JONI K",1.06
2014,15,KY,receipts,Alison Lundergan Grimes,"GRIMES, ALISON  LUNDERGAN",1.06,Mitch McConnell,"MCCONNELL, MITCH",1.06
2014,15,KY,individual,Alison Lundergan Grimes,"GRIMES, ALISON  LUNDERGAN",1.06,Mitch McConnell,"MCCONNELL, MITCH",1.06
2014,15,KY,cash,Alison Lundergan Grimes,"GRIMES, ALISON  LUNDERGAN",1.06,Mitch McConnell,"MCCONNELL, MITCH",1.06
2014,5,MT,receipts,Amanda G. Curtis,,0.17857142857142858,Steve Daines,"DAINES, STEVEN",0.9733333333333334
2014,5,MT,individual,Amanda G. Curtis,,0.17857142857142858,Steve Daines,"DAINES, STEVEN",0.9733333333333334
2014,5,MT,cash,Amanda G. Curtis,,0.17857142857142858,Steve Daines,"DAINES, STEVEN",0.9733333333333334
2014,1,NE,receipts,Dave Domina,,0.18518518518518517,Ben Sasse,"SASSE, BENJAMIN E",0.845
2014,1,NE,individual,Dave Domina,,0.18518518518518517,Ben Sasse,"SASSE, BENJAMIN E",0.845
2014,1,NE,cash,Dave Domina,,0.18518518518518517,Ben Sasse,"SASSE, BENJAMIN E",0.845
2014,9,ME,receipts,Shenna Bellows,,0.3568965517241379,Susan M. Collins,"COLLINS, SUSAN M",1.06
2014,9,ME,individual,Shenna Bellows,,0.3568965517241379,Susan M. Collins,"COLLINS, SUSAN M",1.06
2014,9,ME,cash,Shenna Bellows,,0.3568965517241379,Susan M. Collins,"COLLINS, SUSAN M",1.06
2014,10,NJ,receipts,Cory A. Booker,"BOOKER, CORY A",1.06,Jeff Bell,,0.18181818181818182
2014,10,NJ,individual,Cory A. Booker,"BOOKER, CORY A",1.06,Jeff Bell,,0.18
2014,10,NJ,cash,Cory A. Booker,"BOOKER, CORY A",1.06,Jeff Bell,,0.13636363636363635
2014,8,NH,receipts,Jeanne Shaheen,"SHAHEEN, JEANNE",1.06,Scott Brown,,0.08
2014,8,NH,individual,Jeanne Shaheen,"SHAHEEN, JEANNE",1.06,Scott Brown,"BROWN, SCOTT",1.06
2014,8,NH,cash,Jeanne Shaheen,"SHAHEEN, JEANNE",1.06,Scott Brown,"BROWN, SCOTT",1.06
2014,30,WV,receipts,Natalie E. Tennant,,0.10810810810810811,Shelley Moore Capito,"CAPITO, SHELLEY MOORE",1.06
2014,30,WV,individual,Natalie E. Tennant,,0.10810810810810811,Shelley Moore Capito,"CAPITO, SHELLEY MOORE",1.06
2014,30,WV,cash,Natalie E. Tennant,"TENNANT, NATALIE",0.9954166666666666,Shelley Moore Capito,"CAPITO, SHELLEY MOORE",1.06
2014,16,VA,receipts,Mark R. Warner,"WARNER, MARK ROBERT",0.9293548387096775,Ed W. Gillespie,"GILLESPIE, EDWARD W",0.9475
2014,16,VA,individual,Mark R. Warner,"WARNER, MARK ROBERT",0.9293548387096775,Ed W. Gillespie,"GILLESPIE, EDWARD W",0.9475
2014,16,VA,cash,Mark R. Warner,"WARNER, MARK ROBERT",0.9293548387096775,Ed W. Gillespie,"GILLESPIE, EDWARD W",0.9475
2014,19,TX,receipts,David M. Alameel,"ALAMEEL, DAVID M",1.06,John Cornyn,"CORNYN, JOHN",1.06
2014,19,TX,individual,David M. Alameel,,0.038461538461538464,John Cornyn,"CORNYN, JOHN",1.06
2014,19,TX,cash,David M. Alameel,,0.038461538461538464,John Cornyn,"CORNYN, JOHN",1.06
2014,28,TN,receipts,William Gordon Ball,,0.17647058823529413,Lamar Alexander,"ALEXANDER, LAMAR",1.06
2014,28,TN,individual,William Gordon Ball,,0.17647058823529413,Lamar Alexander,"ALEXANDER, LAMAR",1.06
2014,28,TN,cash,William Gordon Ball,,0.17647058823529413,Lamar Alexander,"ALEXANDER, LAMAR",1.06
2014,22,SD,receipts,Richard P. Weiland,,0.21052631578947367,M. Michael Rounds,"ROUNDS, MARION MICHAEL",0.9424324324324325
2014,22,SD,individual,Richard P. Weiland,,0.21052631578947367,M. Michael Rounds,"ROUNDS, MARION MICHAEL",0.9424324324324325
2014,22,SD,cash,Richard P. Weiland,,0.21052631578947367,M. Michael Rounds,"ROUNDS, MARION MICHAEL",0.9424324324324325
2014,11,SC,receipts,Charles Bradley Hutto,,0.15,Lindsey Graham,"GRAHAM, LINDSEY OLIN",0.9509090909090909
2014,11,SC,individual,Charles Bradley Hutto,,0.15,Lindsey Graham,"GRAHAM, LINDSEY OLIN",0.9509090909090909
2014,11,SC,cash,Charles Bradley Hutto,,0.15,Lindsey Graham,"GRAHAM, LINDSEY OLIN",0.9509090909090909
2014,33,RI,receipts,Jack Reed,,0,Mark S. Zaccaria,,0
2014,33,RI,individual,Jack Reed,,0,Mark S. Zaccaria,,0
2014,33,RI,cash,Jack Reed,"REED, JACK F",0.9766666666666666,Mark S. Zaccaria,,0.19230769230769232
2014,20,OR,receipts,Jeff Merkley,"MERKLEY, JEFFREY ALAN",0.8600000000000001,Monica Wehby,,0.09375
2014,20,OR,individual,Jeff Merkley,"MERKLEY, JEFFREY ALAN",0.8600000000000001,Monica Wehby,,0.09375
2014,20,OR,cash,Jeff Merkley,"MERKLEY, JEFFREY ALAN",0.8600000000000001,Monica Wehby,,0.09375
2014,29,OK,receipts,Matt Silverstein,,0.13333333333333333,James M. Inhofe,"INHOFE, JAMES M",1.06
