rank,correct,accuracy_pct,window,half_life,w_max,k
1,94,94.94949494949495,7,3,0.75,0.5
2,94,94.94949494949495,7,7,0.75,0.5
3,94,94.94949494949495,7,14,0.75,0.5
4,94,94.94949494949495,7,30,0.75,0.5
5,94,94.94949494949495,7,60,0.75,0.5
6,94,94.94949494949495,7,90,0.75,0.5
7,94,94.94949494949495,7,999,0.75,0.5
8,94,94.94949494949495,14,3,0.75,0.5
9,94,94.94949494949495,14,7,0.75,0.5
10,94,94.94949494949495,14,14,0.75,0.5
11,94,94.94949494949495,14,30,0.75,0.5
12,94,94.94949494949495,14,60,0.75,0.5
13,94,94.94949494949495,14,90,0.75,0.5
14,94,94.94949494949495,14,999,0.75,0.5
15,94,94.94949494949495,21,3,0.75,0.5
16,94,94.94949494949495,21,7,0.75,0.5
17,94,94.94949494949495,21,14,0.75,0.5
18,94,94.94949494949495,21,30,0.75,0.5
19,94,94.94949494949495,21,60,0.75,0.5
20,94,94.94949494949495,21,90,0.75,0.5
21,94,94.94949494949495,21,999,0.75,0.5
22,94,94.94949494949495,30,3,0.75,0.5
23,94,94.94949494949495,30,7,0.75,0.5
24,94,94.94949494949495,30,14,0.75,0.5
25,94,94.94949494949495,30,30,0.75,0.5
26,94,94.94949494949495,30,60,0.75,0.5
27,94,94.94949494949495,30,90,0.75,0.5
28,94,94.94949494949495,30,999,0.75,0.5
29,94,94.94949494949495,45,3,0.75,0.5
30,94,94.94949494949495,45,7,0.75,0.5
31,94,94.94949494949495,45,14,0.75,0.5
32,94,94.94949494949495,45,30,0.75,0.5
33,94,94.94949494949495,45,60,0.75,0.5
34,94,94.94949494949495,45,90,0.75,0.5
35,94,94.94949494949495,45,999,0.75,0.5
36,94,94.94949494949495,60,3,0.75,0.5
37,94,94.94949494949495,60,7,0.75,0.5
38,94,94.94949494949495,60,14,0.75,0.5
39,94,94.94949494949495,60,30,0.75,0.5
40,94,94.94949494949495,60,60,0.75,0.5
41,94,94.94949494949495,60,90,0.75,0.5
42,94,94.94949494949495,60,999,0.75,0.5
43,94,94.94949494949495,90,3,0.75,0.5
44,94,94.94949494949495,90,7,0.75,0.5
45,94,94.94949494949495,90,14,0.75,0.5
46,94,94.94949494949495,90,30,0.75,0.5
47,94,94.94949494949495,90,60,0.75,0.5
48,94,94.94949494949495,90,90,0.75,0.5
49,94,94.94949494949495,90,999,0.75,0.5
50,94,94.94949494949495,7,3,0.75,0.25
