variant,n,poll_covered_races,prior_correct,prior_accuracy_pct,posterior_correct,posterior_accuracy_pct,net_correct_gain,cycle
w30_h14_all,99,64,90,90.9090909090909,94,94.94949494949495,4,
w30_h14_all,33,20,30,90.9090909090909,32,96.96969696969697,2,2014
w30_h14_all,33,23,28,84.84848484848484,29,87.87878787878788,1,2018
w30_h14_all,33,21,32,96.96969696969697,33,100.0,1,2022
w45_h14_all,99,64,90,90.9090909090909,94,94.94949494949495,4,
w45_h14_all,33,20,30,90.9090909090909,32,96.96969696969697,2,2014
w45_h14_all,33,23,28,84.84848484848484,29,87.87878787878788,1,2018
w45_h14_all,33,21,32,96.96969696969697,33,100.0,1,2022
w60_h14_all,99,64,90,90.9090909090909,94,94.94949494949495,4,
w60_h14_all,33,20,30,90.9090909090909,32,96.96969696969697,2,2014
w60_h14_all,33,23,28,84.84848484848484,29,87.87878787878788,1,2018
w60_h14_all,33,21,32,96.96969696969697,33,100.0,1,2022
w45_equal_all,99,64,90,90.9090909090909,94,94.94949494949495,4,
w45_equal_all,33,20,30,90.9090909090909,32,96.96969696969697,2,2014
w45_equal_all,33,23,28,84.84848484848484,29,87.87878787878788,1,2018
w45_equal_all,33,21,32,96.96969696969697,33,100.0,1,2022
w45_h14_nonpartisan,99,0,90,90.9090909090909,90,90.9090909090909,0,
w45_h14_nonpartisan,33,0,30,90.9090909090909,30,90.9090909090909,0,2014
w45_h14_nonpartisan,33,0,28,84.84848484848484,28,84.84848484848484,0,2018
w45_h14_nonpartisan,33,0,32,96.96969696969697,32,96.96969696969697,0,2022
