cycle,state_abbrev,candidate_name,politician_id,wikidata_qid,match_status,match_score,wikidata_label,wikidata_description,state_local_quality_tier,prior_eligible_offices,undated_eligible_offices_review,wikipedia_fallback
2014,AK,Mark Begich,1526,Q454133,MATCHED,25,Mark Begich,United States Senator from Alaska from 2009 to 2015,1,"local:Mayor of Anchorage, Alaska[2003-07-01,2009-01-02] | federal:United States senator[2013-01-03,2015-01-03] | federal:United States senator[2009-01-03,2011-01-03] | federal:United States senator[2011-01-03,2013-01-03]",,
2014,AK,Dan Sullivan,4545,Q5218668,MATCHED,25,Dan Sullivan,United States Senator from Alaska,3,"statewide:Alaska Attorney General[2009-01-01,2010-01-01] | statewide:Assistant Secretary of State for Economic and Business Affairs[2006-01-01,2009-01-01]",,
2014,AR,Mark L. Pryor,1541,Q470755,MATCHED,9,Mark Pryor,American politician,3,"federal:United States senator[2013-01-03,2015-01-03] | federal:United States senator[2003-01-03,2005-01-03] | federal:United States senator[2007-01-03,2009-01-03] | federal:United States senator[2009-01-03,2011-01-03] | federal:United States senator[2005-01-03,2007-01-03] | state_legislative:member of the Arkansas House of Representatives[1991-01-01,1994-01-01] | federal:United States senator[2011-01-03,2013-01-03] | statewide:Attorney General of Arkansas[1999-01-12,2003-01-03]",state_legislative:member of the Arkansas House of Representatives,Mark Pryor | https://en.wikipedia.org/wiki/Mark_Pryor | tier3:attorney general:1991; tier2:house of representatives:1991; tier2:house of representatives:1990; tier3:attorney general:1998
2014,AR,Tom Cotton,3066,Q3090307,MATCHED,23,Tom Cotton,American politician and army officer (born 1977),0,,,Tom Cotton | https://en.wikipedia.org/wiki/Tom_Cotton | 
2014,CO,Mark Udall,1543,Q631195,MATCHED,23,Mark Udall,American politician,2,"federal:United States senator[2013-01-03,2015-01-03] | state_legislative:member of the Colorado House of Representatives[1996-01-01,1998-01-01] | federal:United States senator[2011-01-03,2013-01-03] | federal:United States senator[2009-01-03,2011-01-03]",,
2014,CO,Cory Gardner,2816,Q1135774,MATCHED,25,Cory Gardner,United States Senator from Colorado,2,"state_legislative:member of the Colorado House of Representatives[2005-01-01,2010-01-01]",,
2014,DE,Christopher A. Coons,1299,,NO_CONFIDENT_MATCH,6,,,0,,,NO_MATCH
2014,DE,Kevin Wade,4515,Q1740271,MATCHED,19,Kevin Wade,American screenwriter (born 1954),0,,,NO_MATCH
2014,GA,Mary Michelle Nunn,4488,,NO_CONFIDENT_MATCH,5,,,0,,,NO_MATCH
2014,GA,David A. Perdue,4489,Q17402717,MATCHED,11,David Perdue,"American politician, businessman, and diplomat (born 1949)",0,,,David Perdue | https://en.wikipedia.org/wiki/David_Perdue | 
2014,HI,Brian Schatz,2654,Q1827902,MATCHED,23,Brian Schatz,American educator and politician (born 1972),3,"federal:United States senator[2013-01-03,2015-01-03] | federal:United States senator[2012-12-26,2013-01-03] | statewide:Lieutenant Governor of Hawaii[2010-12-06,2012-12-26] | state_legislative:member of the Hawaii House of Representatives[1998-11-03,2006-11-07]",,
2014,HI,Cam Cavasso,505,,NO_CONFIDENT_MATCH,6,,,0,,,NO_MATCH
2014,IA,Bruce L. Braley,2736,Q966154,MATCHED,9,Bruce Braley,American politician (born 1957),0,,,Bruce Braley | https://en.wikipedia.org/wiki/Bruce_Braley | 
2014,IA,Joni K. Ernst,4518,Q13475242,MATCHED,11,Joni Ernst,American politician (born 1970),2,"state_legislative:member of the State Senate of Iowa[2011-01-01,2014-01-01]",,
2014,ID,Nels Mitchell,4483,,NO_CONFIDENT_MATCH,0,,,0,,,NO_MATCH
2014,ID,James E. Risch,2710,,NO_CONFIDENT_MATCH,4,,,0,,,NO_MATCH
2014,IL,Richard J. Durbin,1574,,NO_CONFIDENT_MATCH,6,,,0,,,NO_MATCH
2014,IL,James D. Oberweis,4526,,NO_CONFIDENT_MATCH,0,,,0,,,NO_MATCH
2014,KY,Alison Lundergan Grimes,4676,Q4727130,MATCHED,25,Alison Lundergan Grimes,American politician in Kentucky (born 1978),3,"statewide:Secretary of State of Kentucky[2012-01-02,2020-01-06]",,
