race_id,cycle,state_abbrev,d_candidate,r_candidate,d_quality_tier,r_quality_tier,d_wikidata_qid,r_wikidata_qid,d_prior_offices,r_prior_offices,incumbent_side,challenger_side,challenger_quality_tier
12,2014,AK,Mark Begich,Dan Sullivan,4,3,Q454133,Q5218668,"local:Mayor of Anchorage, Alaska[2003-07-01,2009-01-02] | federal:United States senator[2013-01-03,2015-01-03] | federal:United States senator[2009-01-03,2011-01-03] | federal:United States senator[2011-01-03,2013-01-03]","statewide:Alaska Attorney General[2009-01-01,2010-01-01] | statewide:Assistant Secretary of State for Economic and Business Affairs[2006-01-01,2009-01-01]",D,R,3
32,2014,AR,Mark L. Pryor,Tom Cotton,4,4,Q470755,Q3090307,"federal:United States senator[2013-01-03,2015-01-03] | federal:United States senator[2003-01-03,2005-01-03] | federal:United States senator[2007-01-03,2009-01-03] | federal:United States senator[2009-01-03,2011-01-03] | federal:United States senator[2005-01-03,2007-01-03] | state_legislative:member of the Arkansas House of Representatives[1991-01-01,1994-01-01] | federal:United States senator[2011-01-03,2013-01-03] | statewide:Attorney General of Arkansas[1999-01-12,2003-01-03]",,D,R,4
23,2014,CO,Mark Udall,Cory Gardner,4,4,Q631195,Q1135774,"federal:United States senator[2013-01-03,2015-01-03] | state_legislative:member of the Colorado House of Representatives[1996-01-01,1998-01-01] | federal:United States senator[2011-01-03,2013-01-03] | federal:United States senator[2009-01-03,2011-01-03]","state_legislative:member of the Colorado House of Representatives[2005-01-01,2010-01-01]",D,R,4
24,2014,DE,Christopher A. Coons,Kevin Wade,4,0,,Q1740271,,,D,R,0
17,2014,GA,Mary Michelle Nunn,David A. Perdue,0,0,,Q17402717,,,,,0
34,2014,HI,Brian Schatz,Cam Cavasso,4,0,Q1827902,,"federal:United States senator[2013-01-03,2015-01-03] | federal:United States senator[2012-12-26,2013-01-03] | statewide:Lieutenant Governor of Hawaii[2010-12-06,2012-12-26] | state_legislative:member of the Hawaii House of Representatives[1998-11-03,2006-11-07]",,D,R,0
26,2014,IA,Bruce L. Braley,Joni K. Ernst,4,2,Q966154,Q13475242,,"state_legislative:member of the State Senate of Iowa[2011-01-01,2014-01-01]",,,0
27,2014,ID,Nels Mitchell,James E. Risch,0,4,,,,,R,D,0
4,2014,IL,Richard J. Durbin,James D. Oberweis,4,0,,,,,D,R,0
15,2014,KY,Alison Lundergan Grimes,Mitch McConnell,3,4,Q4727130,Q355522,"statewide:Secretary of State of Kentucky[2012-01-02,2020-01-06]","federal:United States senator[1991-01-03,1993-01-03] | federal:United States senator[2001-01-03,2003-01-03] | federal:United States senator[1989-01-03,1991-01-03] | federal:United States senator[2009-01-03,2011-01-03] | federal:United States senator[1987-01-03,1989-01-03] | federal:United States senator[2003-01-03,2005-01-03] | federal:United States senator[2013-01-03,2015-01-03] | federal:United States senator[2011-01-03,2013-01-03] | federal:United States senator[2005-01-03,2007-01-03] | federal:United States senator[2007-01-03,2009-01-03] | federal:United States senator[1985-01-03,1987-01-03] | federal:United States senator[1999-01-03,2001-01-03] | federal:United States senator[1995-01-03,1997-01-03] | federal:United States senator[1993-01-03,1995-01-03] | federal:United States senator[1997-01-03,1999-01-03] | statewide:United States Assistant Attorney General[1974-01-01,1975-01-01]",R,D,3
31,2014,MA,Edward J. Markey,Brian J. Herr,4,0,,,,,D,R,0
9,2014,ME,Shenna Bellows,Susan M. Collins,3,4,Q16215184,Q52586016,,,R,D,3
2,2014,MI,Gary C. Peters,Terri Lynn Land,4,3,Q1494930,Q3518752,"state_legislative:member of the State Senate of Michigan[1995-01-01,2002-01-01]",,,,0
6,2014,MN,Al Franken,Mike McFadden,4,0,Q319084,Q16732583,"federal:United States senator[2013-01-03,2015-01-03] | federal:United States senator[2009-07-07,2011-01-03] | federal:United States senator[2011-01-03,2013-01-03]",,D,R,0
