variant,scope,n,rmse,mae,direction_pct
baseline,combined,99,10.605498759219843,7.8754020992586184,87.87878787878788
baseline,2014,33,13.511457146261616,9.873083623817427,84.84848484848484
baseline,2018,33,10.56767857473443,8.33752793542832,84.84848484848484
baseline,2022,33,6.5722528193364305,5.4155947385301095,93.93939393939394
approval_signed_fixed,combined,99,30.011206436113486,22.672346260619975,77.77777777777779
approval_signed_fixed,2014,33,49.3172121949745,47.90108282326286,63.63636363636363
approval_signed_fixed,2018,33,11.064605369885276,9.584747881691236,87.87878787878788
approval_signed_fixed,2022,33,12.14103062254693,10.531208076905829,81.81818181818183
approval_plus_party_fixed,combined,99,17.883438270083857,13.475788800809038,79.7979797979798
approval_plus_party_fixed,2014,33,28.475189940581867,25.945371763244232,69.6969696969697
approval_plus_party_fixed,2018,33,7.612253416629349,6.266147341795887,84.84848484848484
approval_plus_party_fixed,2022,33,9.522040162092354,8.215847297386993,84.84848484848484
approval_nested,combined,99,10.310141338570112,7.884550319429112,85.85858585858585
approval_nested,2014,33,13.511457146261616,9.873083623817427,84.84848484848484
approval_nested,2018,33,6.834315332045348,5.589628988300575,87.87878787878788
approval_nested,2022,33,9.467296498514385,8.190938346169336,84.84848484848484
